obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,432.723376923,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3766177768.04,,29,28,11.9085754,1014.55012197,306.799987793,6.07317932897,19.6100006104,88.6319453981,10.7993289522,395.349501474,3766177768.04,-0.222204292369,-0.692956115407
"('1',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,254.420776634,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3766181368.04,,29,28,11.915442833,1014.05927953,307.299987793,8.63478091074,19.5956639081,87.3531763339,10.9908983075,284.644076597,3766181368.04,0.133984183244,-0.986590761579
"('2',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,103.959449676,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3766184968.04,,29,28,11.6741524474,1014.45414375,306.299987793,8.82620202238,19.6083212557,86.9555587067,10.6676715748,94.4579706091,3766184968.04,-0.202044165335,-0.604545409392
"('3',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,12.1212000511,,16,16,0.0169997533162,29,13,,16,16,,29,28,,,29,28,,29,28,3766188568.04,,29,28,11.3520002365,1014.59997559,311.684731246,6.98688134676,19.6056952588,89.3485287859,10.6524307161,7.44305258449,3766188568.04,-0.213119956821,-0.623249374304
"('4',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.05265571407,,16,16,0.0044097004041,29,13,,16,16,,29,28,,,29,28,,29,28,3766192168.04,,29,28,11.3917098593,1015.35998535,310.024423254,6.326071321,19.6224426057,88.4033807987,10.6510233946,4.25115659393,3766192168.04,-0.241534122374,-0.557789948745
"('5',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.20444917545,,16,16,0.00814928085018,29,13,,16,16,,29,28,,,29,28,,29,28,3766195768.04,,29,28,11.3117857009,1015.50885715,314.46714432,8.09476931324,19.6126194101,87.8367212599,10.6167043971,4.57047489183,3766195768.04,-0.205505841423,-0.517089063453
"('6',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.80059996545,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3766199368.04,,29,28,11.3620926784,1015.964101,354.967058547,8.51941207025,19.6115975217,86.9582093617,10.6170674553,5.23865866372,3766199368.04,-0.269640977288,-0.488510013739
"('7',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.79429998648,,16,16,0.00549980799357,29,13,,16,16,,29,28,,,29,28,,29,28,3766202968.04,,29,28,11.1479997635,1016.42783678,357.33271969,7.54501839072,19.6181041743,86.4323430213,10.6168392956,5.21896120234,3766202968.04,-0.294169879338,-0.488804761672
"('8',)",9,44.63558,-124.3039,-5.01200129595,16,16,-4.78714641503,16,16,0.0283548452085,16,16,20.0993327946,16,16,19.5003450143,16,16,0.088576369226,16,16,11.6827739735,29,28,4.92502500451,0.0,16,0,0.0,29,13,-6.15876118865,16,16,7.05279061076,29,29,0.0131862777598,10.9898943337,29,29,10.5170792924,29,29,3766206568.04,8.04278516475,29,29,11.0279998779,1016.68605752,364.163363418,8.54656283824,19.6308028606,86.3521482118,10.5480003357,5.30803699758,3766206568.04,-0.223443421801,-0.401263419204
"('9',)",9,44.63558,-124.3039,-4.70999582668,16,16,-4.51648994765,16,16,0.0157430863133,16,16,10.9309319401,16,16,16.789109962,16,16,0.0679798035332,16,16,4.83681360912,29,28,5.00535004056,0.00723421920647,16,0,0.00866673787435,29,13,-5.69687580973,16,16,7.02687543595,29,29,0.0185111654504,10.8920632441,29,29,10.408968522,29,29,3766210168.04,7.29307067287,29,29,10.9362502646,1017.1208537,367.024983616,6.58660405494,19.6100006104,86.9244974707,10.4215830819,5.3833362943,3766210168.04,-0.230176534321,-0.440343664254
"('10',)",9,44.63558,-124.3039,-4.80066176858,16,16,-4.62743180733,16,16,0.0218575097998,16,16,38.1957488221,16,16,15.0348098969,16,16,0.0537939378401,16,16,33.246294821,29,28,4.40122132477,0.0,16,0,0.0,29,13,-5.68413457097,16,16,6.9761188187,29,29,0.0269492549288,10.8161501331,29,29,10.2877619337,29,29,3766213768.04,6.69186647424,29,29,10.8670560395,1017.24280638,318.100882415,6.69298676802,19.6499996185,86.6710447905,10.3566516914,4.59999990463,3766213768.04,-0.237819695441,-0.480123773001
"('11',)",9,44.63558,-124.3039,-4.96365189985,16,16,-4.77377263845,16,16,0.0214956046419,16,16,13.9154957143,16,16,16.4818187721,16,16,0.0643812532331,16,16,8.17516794191,29,28,4.81149148113,0.00203661440009,16,0,0.00246460817363,29,13,-5.93203613297,16,16,6.95760254662,29,29,0.0212416535884,10.7957289138,29,29,10.2811745418,29,29,3766217368.04,7.15351641357,29,29,10.8633120609,1017.62583107,355.453651276,6.62483065274,19.6394031789,86.5099281118,10.3030004501,5.0119239315,3766217368.04,-0.225550873408,-0.559160670936
"('12',)",9,44.63558,-124.3039,-4.62142890569,16,16,-4.45075447829,16,16,0.0170397925714,16,16,5.56345178492,16,16,14.8144662652,16,16,0.0614708134174,16,16,1.3861143272,29,28,5.14867499399,0.00341467189469,16,0,0.00449701891107,29,13,-5.49186848541,16,16,7.02382154819,29,29,0.0212291633751,10.7980644473,29,29,10.3146603662,29,29,3766220968.04,7.02305149574,29,29,10.8389997482,1017.84002686,365.881281715,6.16307367048,19.6399993896,87.4750639501,10.3267206803,4.97208628809,3766220968.04,-0.157676438828,-0.532478271077
"('13',)",9,44.63558,-124.3039,-5.95303480402,16,16,-5.80696570972,16,16,0.0152534849657,16,16,-10.913783519,16,16,12.6705571944,16,16,0.0495078278733,16,16,7.82499688295,29,28,24.7133250135,0.00197460201562,16,0,0.00316667556763,29,13,-6.69798718491,16,16,7.05695721522,29,29,0.0382797795819,10.9628348836,29,29,10.3149228358,29,29,3766224568.04,6.52909793035,29,29,11.0050001144,1018.52989803,355.597193549,5.54269189705,19.6599623458,86.6539768262,10.339992653,21.402062159,3766224568.04,-0.150177834144,-0.47998980331
"('14',)",9,44.63558,-124.3039,-5.59414979544,16,16,-5.51358331673,16,16,0.0101573236273,16,16,-125.859557705,16,16,6.98799240503,16,16,0.0226527082446,16,16,6.51402942692,29,28,133.3565407,0.0,16,0,0.0,29,13,-6.00503883684,16,16,7.07767052314,29,29,0.117305731223,11.0002017908,29,29,10.1581559006,29,29,3766228168.04,4.90527906304,29,29,11.0932800574,1019.36194754,363.305603697,4.4827615968,19.6399993896,86.611056087,10.1562682062,158.114020289,3766228168.04,-0.163390845754,-0.452235483376
"('15',)",9,44.63558,-124.3039,-4.12900822303,16,16,-4.09711346944,16,16,0.00401981511578,16,16,-220.989897355,16,16,2.76567605858,16,16,0.0094753612446,16,16,29.8335054186,29,28,249.297407366,0.0,16,0,0.0,29,13,-4.29167146634,16,16,7.17278136731,29,29,0.321525189736,11.0367381803,29,29,10.0635217637,29,29,3766231768.04,3.56878595134,29,29,11.2661790808,1020.04998779,343.0623917,4.32017881524,19.6562385505,86.9144647772,10.0775638947,206.762391518,3766231768.04,-0.213489212852,-0.361846863472
"('16',)",9,44.63558,-124.3039,-4.45568678402,16,16,-4.42355687434,16,16,0.00404689581676,16,16,-370.997326496,16,16,2.78402677028,16,16,0.0104652889121,16,16,19.8175201924,29,28,388.979324135,0.0,16,0,0.0,29,13,-4.61954932338,16,16,7.26219974066,29,29,0.298896579186,11.2176976462,29,29,10.2248840663,29,29,3766235368.04,3.71425878928,29,29,11.3366121607,1020.41368464,328.263320754,3.7993028018,19.6299991608,87.5120186067,10.1886475648,299.971108684,3766235368.04,-0.144132196149,-0.456605126528
