obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,63.7658108608,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3759092965.35,,29,28,7.98146057386,997.846254492,330.87253352,6.40673698867,4.91956004616,71.7715621933,10.8789997101,75.918669537,3759092965.35,-0.00589013370006,0.051019745771
"('1',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,10.5021000481,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3759096565.35,,29,28,8.22182065939,997.223871682,337.311132962,5.46139357119,4.92832816986,77.9137015905,10.8871115207,8.71114428768,3759096565.35,-0.0049804389692,0.0390677923558
"('2',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.19217798061,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3759100165.35,,29,28,8.27288570938,996.562661414,338.117078233,4.85234274523,4.88723543146,79.4409536736,10.8924468016,3.5,3759100165.35,-0.0321874541619,0.0635847193053
"('3',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.19595906736,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3759103765.35,,29,28,7.912663068,996.402341428,336.125470687,4.50738817648,4.89711569637,81.2606598358,10.8872549476,3.40000009537,3759103765.35,-0.025110169848,0.0999959153173
"('4',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.28507628875,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3759107365.35,,29,28,7.85434422556,995.653997394,339.451382922,4.26953858465,4.88771339039,82.5872749972,10.8835718975,3.5,3759107365.35,-0.0308750734747,0.0827628957242
"('5',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.3601720883,,16,16,0.0149930205137,29,29,,16,16,,29,28,,,29,28,,29,28,3759110965.35,,29,28,7.92192098581,994.614529757,340.200012207,5.40135063347,4.91738615016,83.7482776681,10.8845225599,3.47841607204,3759110965.35,-0.0165318639014,0.0780521641853
"('6',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.33112498122,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3759114565.35,,29,28,7.92527871843,993.973186477,340.700012207,6.38205680208,4.89291129312,84.8351354648,10.8875143817,3.5,3759114565.35,-0.0176955517653,0.0895556253973
"('7',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.34433896319,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3759118165.35,,29,28,7.99462863652,992.637979499,340.743440044,5.40813747866,4.90457131604,86.3823458233,10.8847831021,3.59999990463,3759118165.35,-0.0151499561928,0.0662523629625
"('8',)",8,44.6395,-124.3015,30.0176480176,16,16,30.6247172271,16,16,0.0773584084961,16,16,101.608903101,16,16,53.1845392095,16,16,0.0509292368945,16,16,24.8520966787,29,28,3.34932783635,0.0,16,16,0.0,29,29,26.9215950492,16,16,5.9674843214,29,29,-0.190017539235,8.18656615338,29,29,10.7280237448,29,29,3759121765.35,6.03991033093,29,29,8.07541810796,991.955853503,342.862148152,5.92840512425,4.90655358408,86.550469313,10.8723445148,3.59999990463,3759121765.35,0.0055531795591,0.0812044282138
"('9',)",8,44.6395,-124.3015,28.4828576467,16,16,29.0298315875,16,16,0.0696813965072,16,16,94.4463361581,16,16,47.9067846426,16,16,0.0485833488092,16,16,24.188998244,29,28,3.34273727744,0.0,16,16,0.0,29,29,25.6932905489,16,16,6.14257004843,29,29,-0.193156772968,8.26043088723,29,29,10.7292346917,29,29,3759125365.35,5.92685003832,29,29,8.19491506178,991.289978027,343.945751493,5.28883525277,4.90135629512,89.0764630896,10.8649997711,3.40000009537,3759125365.35,0.0319528586622,0.104146531702
"('10',)",8,44.6395,-124.3015,23.1031250054,16,16,23.518495435,16,16,-0.0860919181101,16,16,79.9807963414,16,16,36.374860484,16,16,0.0289429380814,16,16,25.5053113506,29,28,3.44382786073,0.559716552688,16,16,0.1389997026,29,29,20.9847358149,16,16,6.30269230032,29,29,-0.337423157076,8.2871768224,29,29,10.7140529677,29,29,3759128965.35,4.66576841994,29,29,8.26047803012,990.261053335,341.202973207,3.87830881666,4.95970190699,91.1311965035,10.8696571162,3.70000004768,3759128965.35,0.0279942605839,0.0776916797182
"('11',)",8,44.6395,-124.3015,29.4197286216,16,16,29.8897580229,16,16,-0.570205436691,16,16,92.4249033913,16,16,41.2189694845,16,16,0.0382492325095,16,16,24.9553930349,29,28,3.45869996846,2.68666216515,16,16,0.630158532643,29,29,27.0225786752,16,16,6.28947267651,29,29,-0.283321154409,7.91693662511,29,29,10.707113472,29,29,3759132565.35,5.29826936425,29,29,7.76833421155,988.541614506,342.104096884,4.93959384309,5.67010234645,93.3701561469,10.8520206892,3.79999995232,3759132565.35,0.00778526146141,0.0796646040822
"('12',)",8,44.6395,-124.3015,31.9717031794,16,16,32.5288798232,16,16,-0.207462835671,16,16,99.9126752126,16,16,48.8397145835,16,16,0.0564038229194,16,16,24.2861950382,29,28,3.54532499099,1.20198828612,16,16,0.278499921163,29,29,29.1301022957,16,16,6.21963510564,29,29,-0.173051838907,8.04967400412,29,29,10.7142022232,29,29,3759136165.35,6.31952577106,29,29,7.96582660092,987.55682162,343.442015308,5.9765298594,5.97391318914,90.9453467188,10.8528117493,3.85942150328,3759136165.35,0.00614202650457,0.0870675096847
"('13',)",8,44.6395,-124.3015,34.7236918471,16,16,35.3410229485,16,16,0.025409072743,16,16,106.790319723,16,16,54.1376326109,16,16,0.0632268786661,16,16,24.2770601395,29,28,3.44294999099,0.243273733369,16,16,0.0533334096273,29,29,31.5753032301,16,16,6.10394849538,29,29,-0.158555910292,7.92774795437,29,29,10.7066039087,29,29,3759139765.35,6.62739041236,29,29,7.76308390869,986.341484473,342.508194203,6.51113650071,5.98245814721,89.1255137819,10.8464094122,3.60819361949,3759139765.35,-0.0047406609024,0.0831762892734
"('14',)",8,44.6395,-124.3015,38.8873572614,16,16,39.511487589,16,16,0.0596821043676,16,16,111.128957998,16,16,54.801782566,16,16,0.0652912867345,16,16,23.989291311,29,28,3.46126269888,0.0948542287422,16,16,0.0200254778404,29,29,35.7042925909,16,16,6.10912990272,29,29,-0.168960605411,7.59488540677,29,29,10.6915060578,29,29,3759143365.35,6.69401889529,29,29,7.55148075005,985.320612228,344.397904057,6.11026728446,6.01000022888,91.6109231279,10.8238751227,3.8145848536,3759143365.35,-0.0359055976537,0.0717559874833
"('15',)",8,44.6395,-124.3015,40.434660416,16,16,40.9967455078,16,16,0.0286537791845,16,16,105.085581375,16,16,49.4238050648,16,16,0.0550970449799,16,16,24.2017591953,29,28,6.31445903338,0.206449700898,16,16,0.0432286691785,29,29,37.5680264479,16,16,6.18942320251,29,29,-0.225648661014,7.21529034797,29,29,10.6401545979,29,29,3759146965.35,6.19877532047,29,29,6.96173600583,983.920542362,342.063152103,5.76907582553,6.06368535278,95.8165260401,10.774472961,5.89472247397,3759146965.35,-3.63095385548e-05,0.0922957098032
"('16',)",8,44.6395,-124.3015,36.8077982182,16,16,37.3319777622,16,16,-0.613234798027,16,16,94.9571780231,16,16,46.0758297796,16,16,0.0461133496526,16,16,23.9869265944,29,28,12.4188750901,3.17881419543,16,16,0.68024581547,29,29,34.1344825438,16,16,6.19847752294,29,29,-0.267525094635,7.30509687185,29,29,10.6045478088,29,29,3759150565.35,5.73973128464,29,29,7.09035984036,982.771662579,343.100006104,5.03627436406,6.66514977684,95.6949915409,10.7697639215,11.7691007124,3759150565.35,-0.0205877372977,0.183108799876
"('17',)",8,44.6395,-124.3015,38.0257692455,16,16,38.5785468648,16,16,-1.46049766232,16,16,80.7483175305,16,16,48.5927124763,16,16,0.0523106896957,16,16,23.9743771961,29,28,34.2231750541,7.19779952553,16,16,1.53116672834,29,29,35.2066033866,16,16,6.15951352072,29,29,-0.229270611389,7.30043020134,29,29,10.5734197934,29,29,3759154165.35,6.07400658949,29,29,7.21054726555,982.668539015,342.468874067,6.04964291458,8.16172191738,94.0703917021,10.7326554205,22.7589157888,3759154165.35,0.0202098360725,0.211276525554
"('18',)",8,44.6395,-124.3015,31.2647178744,16,16,31.6799357121,16,16,-1.04944914859,16,16,43.9250500318,16,16,36.478946649,16,16,0.0344433609837,16,16,23.6739579745,29,28,50.0172748919,4.64231339812,16,16,1.10250001748,29,29,29.1471069021,16,16,6.40616927511,29,29,-0.349855271279,7.45075587347,29,29,10.5538468273,29,29,3759157765.35,5.03238931117,29,29,7.28115229088,982.410773704,343.546240904,4.36949876506,9.23539144681,97.215609167,10.689151843,43.769126067,3759157765.35,-0.00772589473931,0.252874326983
