obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,37.8557706307,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3749934584.76,,29,28,12.126994681,1023.99865628,326.743660793,1.76803287457,16.6071830063,88.7459173623,12.4669948335,36.9309640675,3749934584.76,0.169716553093,-0.157503423001
"('1',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.17295761413,,16,16,0.00131407258377,29,29,,16,16,,29,28,,,29,28,,29,28,3749938184.76,,29,28,12.0983818157,1023.69884877,349.100006104,2.27153204543,16.6203331899,89.3489538015,12.4970638914,2.898338219,3749938184.76,0.231620766305,-0.467961577508
"('2',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.9217540858,,16,16,0.00671855420926,29,29,,16,16,,29,28,,,29,28,,29,28,3749941784.76,,29,28,12.2316351949,1023.50363779,354.536457541,2.49128000694,16.6438983722,90.4633232429,12.4681695908,3.20000004768,3749941784.76,0.301399928458,-0.428379279743
"('3',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.8157796488,,16,16,0.00463747627108,29,29,,16,16,,29,28,,,29,28,,29,28,3749945384.76,,29,28,12.0003739964,1023.90412874,354.520879788,3.3828383632,16.6391642586,91.5129976225,12.3615011795,2.79999995232,3749945384.76,0.169338300048,-0.415148915621
"('4',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.05188523851,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3749948984.76,,29,28,11.9750830508,1023.506974,358.202949348,4.18107857291,16.5997039046,93.7959957565,12.3927280607,3.29999995232,3749948984.76,-0.0022711362565,-0.280453877685
"('5',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.95833048251,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3749952584.76,,29,28,12.2919211125,1023.77001953,358.19709557,4.488885222,16.5614577286,87.0940782003,12.2899999619,3.09999990463,3749952584.76,-0.153802284843,-0.137636060749
"('6',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.23313934869,,16,16,0.021678319869,29,29,,16,16,,29,28,,,29,28,,29,28,3749956184.76,,29,28,11.9541853758,1022.78637684,360.468055578,5.65425553629,16.6499996185,85.8388377702,12.2662267442,3.40000009537,3749956184.76,-0.0634433634248,-0.0578195495503
"('7',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.45165254237,,16,16,0.0205253570336,29,29,,16,16,,29,28,,,29,28,,29,28,3749959784.76,,29,28,12.1359996796,1022.58865581,359.432346344,6.33941954377,16.6700000763,85.3913882202,12.196595206,3.79999995232,3749959784.76,-0.153930598323,0.00847631329623
"('8',)",8,44.6395,-124.3015,0.496197888379,16,16,0.66336716349,16,16,-0.0556857595431,16,16,22.7907379226,16,16,14.4220232134,16,16,0.0559655930014,16,16,12.0079973705,29,28,3.36017212893,0.0772548823398,16,16,0.0766877939914,29,29,-0.356365414684,16,16,7.92449515091,29,29,-0.00359261570561,12.0856972078,29,29,12.0716419333,29,29,3749963384.76,6.62618520741,29,29,12.1627932675,1022.39001465,362.468035939,6.88426837923,16.712267066,88.8281132845,12.0993199437,3.5453586041,3749963384.76,-0.0695769061149,0.139793365985
"('9',)",8,44.6395,-124.3015,9.18812927693,16,16,9.42183655873,16,16,-0.309695231356,16,16,37.1440132653,16,16,20.2125884844,16,16,0.113551503939,16,16,11.9098489642,29,28,3.43822498047,0.463578657318,16,16,0.33912851146,29,29,7.99622213978,16,16,7.86350883185,29,29,-0.017774725016,11.4286537575,29,29,12.0244183648,29,29,3749966984.76,8.60760266803,29,29,11.2590360676,1021.67142812,361.985203407,8.39555866654,17.0729589004,94.5843748067,12.0404438709,3.5,3749966984.76,0.0432726443419,0.288395102655
"('10',)",8,44.6395,-124.3015,10.9446494011,16,16,11.1248056442,16,16,-0.684703635303,16,16,33.7569219477,16,16,15.5885464516,16,16,0.107797478783,16,16,10.6884386252,29,28,3.4420423324,0.896126641877,16,16,0.707403976634,29,29,10.0258525615,16,16,8.00883876924,29,29,-0.0226896691991,11.2963263985,29,29,12.0512397816,29,29,3749970584.76,8.41798658872,29,29,11.1637385868,1021.73013626,363.791681526,7.67461511895,17.6133238462,97.6404145762,12.0871660471,3.59999990463,3749970584.76,0.124467170969,0.296547138008
"('11',)",8,44.6395,-124.3015,11.6841452584,16,16,11.8714633359,16,16,-1.51888510506,16,16,34.7823586049,16,16,16.2054024232,16,16,0.142513931378,16,16,9.42330275629,29,28,3.44072948456,1.86555984693,16,16,1.54248406669,29,29,10.728823063,16,16,8.05408696165,29,29,-0.0159320319647,11.3401386964,29,29,12.070886377,29,29,3749974184.76,9.37577876477,29,29,11.2279996872,1020.84465602,365.641535995,9.16714310388,19.4244078441,97.6391369485,12.1041948933,3.61949081357,3749974184.76,0.13099278944,0.354347831453
