obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,64.5970496035,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3757710546.94,,29,28,11.5591901661,1017.37109811,275.384121643,2.76585950645,17.8999996185,77.5340630847,10.8140001297,68.3063565376,3757710546.94,0.15248774208,0.116714912438
"('1',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,6.41670485598,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3757714146.94,,29,28,11.3750547788,1016.92154401,274.694534938,3.41801940619,17.8400001526,79.0531498302,10.8140001297,2.47363360018,3757714146.94,-0.0239226107382,0.169498258493
"('2',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.31659321919,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3757717746.94,,29,28,11.6553486702,1016.32651993,270.899993896,3.44480008024,17.81976707,64.4781616275,10.8140001297,1.29767375974,3757717746.94,0.0758085970295,-0.033849047007
"('3',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.46474999812,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3757721346.94,,29,28,11.3800654946,1016.50131317,269.022989474,4.37875992025,17.7900009155,59.3716919044,10.718590439,1.5704965281,3757721346.94,-0.0820798328627,-0.0851970390512
"('4',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.73407499474,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3757724946.94,,29,28,11.1934516233,1016.46961505,265.8862901,5.70260014337,17.7700004578,56.9732243801,10.6949996948,1.89999997616,3757724946.94,-0.108330162954,-0.0277411558841
"('5',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.74127867338,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3757728546.94,,29,28,11.2049999237,1016.36836803,266.659872625,6.81279324534,17.7538159876,54.8275614731,10.6949996948,2.09999990463,3757728546.94,-0.164261143377,0.0086324829298
"('6',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.60329661819,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3757732146.94,,29,28,10.7332482291,1016.32000732,266.474869126,4.85401441769,17.7491680283,58.0902931938,10.6949996948,1.79168043392,3757732146.94,-0.0753398470688,0.0266152085668
"('7',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.64430000338,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3757735746.94,,29,28,10.4372932166,1016.16631756,263.700012207,4.95041430207,17.7199993134,53.4285737987,10.6949996948,1.86616796861,3757735746.94,-0.0682499421513,0.077595920874
"('8',)",8,44.6395,-124.3015,7.39197257802,16,16,8.39747259225,16,16,0.127184966496,16,16,190.131243298,16,16,87.4556633007,16,16,0.0459260329287,16,16,102.054382493,29,28,1.64272500113,0.0,16,16,0.0,29,13,2.2639225055,16,16,4.11100462972,29,29,-0.061572418315,10.1721254509,29,29,10.4165675804,29,29,3757739346.94,5.94475210345,29,29,10.0828182405,1016.26781827,261.799987793,5.42262855705,17.7187266838,49.925336301,10.6949996948,1.71272604025,3757739346.94,-0.0753561304362,0.172835478164
"('9',)",8,44.6395,-124.3015,8.57881601473,16,16,9.72968969672,16,16,0.145576190967,16,16,203.527057164,16,16,100.101943591,16,16,0.0598326435922,16,16,102.49392831,29,28,1.77817497334,0.0,16,16,0.0,29,13,2.70936023658,16,16,3.97411369729,29,29,-0.0480278980183,10.1675899565,29,29,10.4319990509,29,29,3757742946.94,6.64138609854,29,29,10.1021423672,1016.12122701,261.0,6.44441425903,17.6999060031,48.2936955158,10.6949996948,1.70094762324,3757742946.94,0.00289257308883,0.205019798249
