obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,464.670676826,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765486582.32,,29,28,11.302514739,1019.01648534,285.975737186,9.296452262,20.4227750946,74.0434106986,10.5946302117,491.860234847,3765486582.32,-0.387313010898,-1.01954054399
"('1',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,270.213301586,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765490182.32,,29,28,11.3881762729,1018.4011185,286.399993896,9.1667937907,20.4500007629,73.5842864939,10.6233652021,279.754154218,3765490182.32,-0.489703312392,-1.07173125238
"('2',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,99.5208933599,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765493782.32,,29,28,11.3007872073,1018.01126215,285.700012207,9.60675274318,20.4400005341,73.7907173426,10.6431064495,103.987095401,3765493782.32,-0.504162694141,-1.04525896118
"('3',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,9.95453386776,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765497382.32,,29,28,11.1388238458,1018.16040755,287.100006104,10.1934890229,20.4029009751,77.2480622182,10.6233468181,6.62175959464,3765497382.32,-0.597869265382,-0.996283817292
"('4',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,6.31574996996,,16,16,0.00520627296577,29,13,,16,16,,29,28,,,29,28,,29,28,3765500982.32,,29,28,11.1672143792,1017.61072048,287.899993896,10.4465077553,20.4214284802,75.1964314075,10.4992138699,6.0785604114,3765500982.32,-0.567529236822,-0.99102476557
"('5',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.50036884138,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765504582.32,,29,28,11.2858381789,1016.9912548,286.399993896,9.83065763966,20.4053577423,71.8501772853,10.515999794,4.173209829,3765504582.32,-0.594479199201,-0.929245811953
"('6',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.82644911588,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765508182.32,,29,28,11.1557189493,1017.0791612,285.200012207,9.75553615576,20.4003663977,75.6333180498,10.425742903,4.0,3765508182.32,-0.566046680597,-0.954169810468
"('7',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.83197496921,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765511782.32,,29,28,11.0782469159,1017.09754908,284.474955393,8.85524460592,20.4275131718,74.6443905066,10.3570015971,3.92504315001,3765511782.32,-0.521443962002,-0.962340136928
"('8',)",9,44.63558,-124.3039,-7.47213662031,16,16,-6.8895479968,16,16,0.0734744132779,16,16,114.022158932,16,16,50.5405915485,16,16,0.122569921415,16,16,77.8513809645,29,28,3.92647498047,0.0,16,0,0.0,29,13,-10.4433386002,16,16,6.08213732543,29,29,0.0116733748371,10.9419462657,29,29,10.2220529414,29,29,3765515382.32,9.07715853167,29,29,10.9700172741,1017.01000977,286.104947878,8.33693114399,20.4026234156,73.9557954667,10.3266561629,3.85247467304,3765515382.32,-0.523769562109,-0.888834144847
"('9',)",9,44.63558,-124.3039,-5.08137731168,16,16,-4.60979996889,16,16,0.0591926082016,16,16,106.981101574,16,16,40.9479427952,16,16,0.10775093647,16,16,77.1666818018,29,28,3.64770000225,0.000598739313122,16,0,0.000333340962726,29,13,-7.48642175989,16,16,6.27748823553,29,29,0.00949013600793,10.706469443,29,29,10.1701968189,29,29,3765518982.32,8.63008608697,29,29,10.6736798212,1016.37302524,286.53205107,8.85003404592,20.4183012005,78.5345847447,10.2599803703,3.60849410153,3765518982.32,-0.469165486266,-0.867367714577
"('10',)",9,44.63558,-124.3039,-4.06267905038,16,16,-3.61344337574,16,16,0.0567233008406,16,16,105.770409797,16,16,39.0207906841,16,16,0.0919050723747,16,16,76.875525093,29,28,3.77212498873,0.0,16,0,0.0,29,13,-6.35378099104,16,16,6.25104972544,29,29,0.00945122421051,10.6222006921,29,29,10.1414030321,29,29,3765522582.32,8.12508732683,29,29,10.7347485403,1016.36083704,285.137491483,7.98832429711,20.4099998474,76.201416203,10.2495832508,3.82083895144,3765522582.32,-0.398052226232,-0.858289702494
"('11',)",9,44.63558,-124.3039,-3.01621547336,16,16,-2.5671260034,16,16,0.0567161586101,16,16,107.419375776,16,16,39.0155588225,16,16,0.0740848214564,16,16,77.5218887046,29,28,3.81149998122,0.0,16,0,0.0,29,13,-5.30657177014,16,16,6.14512487327,29,29,0.00928956809978,10.5681260236,29,29,10.135201073,29,29,3765526182.32,7.47802630815,29,29,10.6397263633,1016.3839843,285.582777281,6.94849117162,20.3908607979,76.5588193618,10.2623965652,3.90861397272,3765526182.32,-0.418523831708,-1.00081003199
"('12',)",9,44.63558,-124.3039,-1.74440362037,16,16,-1.30545953255,16,16,0.0554630585443,16,16,109.827024564,16,16,38.1550990572,16,16,0.055212220125,16,16,79.3215439889,29,28,3.66660001427,0.0,16,0,0.0,29,13,-3.98301846827,16,16,5.99160231101,29,29,0.0073720370792,10.4285863432,29,29,10.0696201549,29,29,3765529782.32,6.64838831445,29,29,10.3841293934,1015.98943085,282.994489446,5.93776932673,20.3786494745,75.2617753857,10.2126499332,3.72699831169,3765529782.32,-0.334945975019,-0.730069470183
"('13',)",9,44.63558,-124.3039,-3.53578010257,16,16,-3.06972142941,16,16,0.054688073786,16,16,87.7918064013,16,16,40.4902785122,16,16,0.0503662475294,16,16,79.3050625548,29,28,26.1009000871,0.0100447570066,16,0,0.00416663487752,29,13,-5.91267933567,16,16,5.81323263325,29,29,0.0197978031062,10.576562935,29,29,10.0129325894,29,29,3765533382.32,6.47541453058,29,29,10.6149390113,1016.33234814,282.438301316,6.32648816388,20.4091184328,71.0319501483,10.1870883657,24.1027204302,3765533382.32,-0.309362022591,-0.72731528653
"('14',)",9,44.63558,-124.3039,-6.35068031027,16,16,-5.84434026067,16,16,0.0638839695743,16,16,-30.0524230675,16,16,43.9519032607,16,16,0.0563747585783,16,16,81.4714126823,29,28,146.542724447,0.0,16,0,0.0,29,13,-8.93301456323,16,16,5.7250890046,29,29,0.0317507700345,10.8095879952,29,29,9.98218271461,29,29,3765536982.32,6.84641925544,29,29,10.8678642268,1016.82616659,280.470150216,6.38246603662,20.3899993896,70.3380001173,10.1101620385,156.287281372,3765536982.32,-0.420180565713,-0.90763038921
"('15',)",9,44.63558,-124.3039,-6.46203054166,16,16,-5.99416070135,16,16,0.0590207206018,16,16,-221.634770214,16,16,40.6057135788,16,16,0.0498722582572,16,16,82.6780358662,29,28,336.070352932,0.0,16,0,0.0,29,13,-8.84816672727,16,16,5.78021930664,29,29,0.0391213969179,10.8502420572,29,29,9.99007107878,29,29,3765540582.32,6.5544623037,29,29,10.8839998245,1016.8716489,278.914167854,5.80029131514,20.3990547211,70.5111668572,10.123000145,360.204730745,3765540582.32,-0.45804477868,-0.88819456679
"('16',)",9,44.63558,-124.3039,-6.25948880539,16,16,-5.78780020356,16,16,0.0594830051806,16,16,-411.607661683,16,16,40.9204703265,16,16,0.0463434319912,16,16,83.4044449152,29,28,527.26747625,0.0,16,0,0.0,29,13,-8.66510067476,16,16,5.76172312049,29,29,0.0421504188885,10.9412511278,29,29,10.0743122044,29,29,3765544182.32,6.37602436525,29,29,11.0151253287,1016.82949684,278.59499658,6.30722682098,20.3832492468,67.621125496,10.2598247545,571.460002715,3765544182.32,-0.463221372224,-0.879641414979
"('17',)",9,44.63558,-124.3039,-6.59689756187,16,16,-6.19059123814,16,16,0.0512211876153,16,16,-588.771827666,16,16,35.2358480999,16,16,0.0409990756529,16,16,82.821082701,29,28,698.159698654,0.0,16,0,0.0,29,13,-8.66905981288,16,16,5.94178716737,29,29,0.054136129285,11.0262429327,29,29,10.1138166364,29,29,3765547782.32,6.11613096015,29,29,11.122960632,1017.15002441,280.079740181,5.8173179526,20.3859467463,70.898582231,10.2574447468,738.225553608,3765547782.32,-0.4912743106,-0.854432851104
"('18',)",9,44.63558,-124.3039,-8.23939986606,16,16,-7.79277601026,16,16,0.0562967578446,16,16,-724.008842669,16,16,38.7271050621,16,16,0.0658720288778,16,16,81.3342299542,29,28,833.552996155,0.0,16,0,0.0,29,13,-10.5171815306,16,16,6.08860149946,29,29,0.0334595464808,11.0700089239,29,29,10.1478544109,29,29,3765551382.32,7.29637359927,29,29,11.0880002975,1017.01448133,282.268051369,6.7277913374,20.368723353,74.4592622688,10.2147248308,881.674831218,3765551382.32,-0.469759322674,-0.863675240599
"('19',)",9,44.63558,-124.3039,-10.1347699322,16,16,-9.69128352522,16,16,0.0558785346161,16,16,-801.652276464,16,16,38.4385850565,16,16,0.0835188100835,16,16,78.447597222,29,28,906.141908134,0.0,16,0,0.0,29,13,-12.3965506079,16,16,6.23787770517,29,29,0.0291215740683,11.183120205,29,29,10.1866240501,29,29,3765554982.32,7.97578167946,29,29,11.2074745291,1017.06667006,284.71439841,7.4393062018,20.3380935899,75.3057479012,10.27452505,965.903180609,3765554982.32,-0.426530737382,-0.864170184285
"('20',)",9,44.63558,-124.3039,-11.2970182097,16,16,-10.8024499034,16,16,0.0622944699592,16,16,-812.190593767,16,16,42.8477285903,16,16,0.116861071513,16,16,76.5393692463,29,28,917.758375032,0.0,16,0,0.0,29,13,-13.8193165717,16,16,6.32277740067,29,29,0.0195999843485,11.2823189701,29,29,10.3032767752,29,29,3765558582.32,8.98884169288,29,29,11.359097605,1016.25042617,287.01156625,8.73085536468,20.2801833048,74.3014470641,10.3838963355,961.713203669,3765558582.32,-0.453416440373,-0.906654646451
"('21',)",9,44.63558,-124.3039,-9.95295808057,16,16,-9.48504161973,16,16,0.0589343645196,16,16,-779.329057689,16,16,40.5321249115,16,16,0.111656107158,16,16,76.5366746227,29,28,884.058525192,0.0,16,0,0.0,29,13,-12.3393320309,16,16,6.42930634255,29,29,0.0184249487608,11.3038236103,29,29,10.4165200665,29,29,3765562182.32,8.82744095343,29,29,11.3168294032,1016.24434163,287.781127528,7.47311457304,20.2700004578,77.0857857841,10.5078116777,944.022784587,3765562182.32,-0.433988480016,-0.951979718717
"('22',)",9,44.63558,-124.3039,-10.3676334833,16,16,-9.93853360812,16,16,0.0540244434403,16,16,-686.277633697,16,16,37.1535608667,16,16,0.099838583523,16,16,76.5298396431,29,28,787.40499136,0.0,16,0,0.0,29,13,-12.5560428467,16,16,6.50842390691,29,29,0.0228121107923,11.4081790915,29,29,10.4645812443,29,29,3765565782.32,8.49790481192,29,29,11.4669076809,1015.97998047,287.538446117,7.76569951862,20.2900009155,76.3288538193,10.5317537722,830.621513691,3765565782.32,-0.41633491802,-0.904646305691
"('23',)",9,44.63558,-124.3039,-9.01719675426,16,16,-8.6456405883,16,16,0.0467740160704,16,16,-535.366987815,16,16,32.1646522834,16,16,0.0780917430027,16,16,76.0547885391,29,28,632.674295437,0.0,16,0,0.0,29,13,-10.9121332006,16,16,6.60917812681,29,29,0.0286748988011,11.4421057531,29,29,10.5435820118,29,29,3765569382.32,7.77520177251,29,29,11.4625018889,1015.58027055,289.098656064,6.64377116422,20.2843442689,77.8891713877,10.6252895629,675.389171896,3765569382.32,-0.360090935716,-1.05132632768
