obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,8.23544264363,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3756846577.88,,29,28,10.4748444105,1009.54684521,358.669212678,10.578144447,47.3946376153,97.6276108236,11.5260000229,8.53840484774,3756846577.88,0.113425215368,0.330146836314
"('1',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.59887497747,,16,16,1.60742112248,29,29,,16,16,,29,28,,,29,28,,29,28,3756850177.88,,29,28,11.4067082163,1008.85608416,363.799987793,15.3933871163,49.1244721834,97.6820614661,11.6000003815,3.70000004768,3756850177.88,0.207951942698,0.43352724283
"('2',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.562649997,,16,16,0.62133286794,29,29,,16,16,,29,28,,,29,28,,29,28,3756853777.88,,29,28,11.8098118744,1009.38424648,364.851973661,13.6732589564,49.7582658559,96.8381982411,11.4799995422,3.78267240377,3756853777.88,0.183613646969,0.444361816727
"('3',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.51067499775,,16,16,0.137333679199,29,13,,16,16,,29,28,,,29,28,,29,28,3756857377.88,,29,28,11.9234070212,1008.89347131,365.980221793,11.7995859019,49.8699989319,97.0330559724,11.4799995422,3.73604681322,3756857377.88,0.279511938368,0.480487404521
"('4',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.50909999549,,16,16,0.0811665217082,29,13,,16,16,,29,28,,,29,28,,29,28,3756860977.88,,29,28,12.1059999466,1008.83389119,366.5,15.6657172974,49.9526553109,96.8500373899,11.3789997101,3.79115110736,3756860977.88,0.202692751028,0.637819764813
"('5',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.49492498273,,16,16,0.109166399638,29,13,,16,16,,29,28,,,29,28,,29,28,3756864577.88,,29,28,11.9980794176,1010.11620054,367.700012207,13.6582131878,50.0238951068,97.7352084033,11.2840003967,3.61947273211,3756864577.88,0.205723282297,0.567130918822
"('6',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.50752498573,,16,16,0.105999883016,29,13,,16,16,,29,28,,,29,28,,29,28,3756868177.88,,29,28,12.1123027469,1011.29648568,367.379078776,13.3688809674,50.1406965367,97.7031190618,11.2419996262,3.79767603649,3756868177.88,0.222002184236,0.66202815717
"('7',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.50752498573,,16,16,0.0781668345133,29,13,,16,16,,29,28,,,29,28,,29,28,3756871777.88,,29,28,12.0365368043,1012.79536294,367.420899584,10.0610622079,50.2262722891,97.7338311283,11.2419996262,3.72090443984,3756871777.88,0.245825717911,0.586730888175
"('8',)",8,44.6395,-124.3015,-14.8921444867,16,16,-15.0693447323,16,16,-0.0829195542135,16,16,-27.4106738926,16,16,-15.2933034013,16,16,0.156283988933,16,16,5.42596400349,29,28,3.50752497447,-0.0473862864263,16,16,0.0606671651204,29,13,-13.9884232338,16,16,8.50285807959,29,29,0.01754450948,12.1515037941,29,29,11.261312725,29,29,3756875377.88,10.0229842995,29,29,12.2763673977,1014.27505033,366.442163367,9.20780241668,50.2971575678,97.6220975396,11.2419996262,3.59999990463,3756875377.88,0.190264815148,0.64279637244
"('9',)",8,44.6395,-124.3015,-11.0538792824,16,16,-11.1417420209,16,16,-0.0330273459252,16,16,-11.6197352196,16,16,-7.57871993096,16,16,0.0522298058906,16,16,9.96855519831,29,28,3.38782495344,-0.0159662172379,16,16,0.0219999949137,29,13,-10.6057793163,16,16,8.38951304163,29,29,0.0671062363092,12.2813597393,29,29,11.2535990408,29,29,3756878977.88,6.85276331958,29,29,12.3214879641,1015.42999268,360.250410724,5.64396157022,50.3110091745,95.6456418913,11.2419996262,3.58992021078,3756878977.88,0.0958313128395,0.42015138197
