obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,68.5597494593,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3767214554.51,,29,28,11.4101107577,1002.91261941,362.506711438,3.39667072163,30.688134598,88.9022739003,12.2275073071,83.0104958572,3767214554.51,-0.219479787405,-0.449338205608
"('1',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,57.0606749039,,16,16,0.303499857585,29,29,,16,16,,29,28,,,29,28,,29,28,3767218154.51,,29,28,11.6346612053,1002.07246006,358.951354881,4.2451884863,30.9799995422,87.0169441528,12.3769356905,66.368879431,3767218154.51,-0.336641293192,-0.422316317111
"('2',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,23.7777751021,,16,16,0.0711673418681,29,29,,16,16,,29,28,,,29,28,,29,28,3767221754.51,,29,28,11.9136251278,1002.66998291,365.773642414,2.56811627188,31.0300006866,87.8002481454,12.4716848999,26.8684761012,3767221754.51,-0.497416786966,-0.407016689359
"('3',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.7631750015,,16,16,0.503332805634,29,29,,16,16,,29,28,,,29,28,,29,28,3767225354.51,,29,28,11.435021268,1003.4193974,365.903254502,2.96857185475,31.6184873521,90.4999211851,12.5372433632,8.7302688312,3767225354.51,-0.652414757632,-0.259792022023
"('4',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,6.84022498047,,16,16,0.356666374207,29,29,,16,16,,29,28,,,29,28,,29,28,3767228954.51,,29,28,11.8794255898,1003.55776757,361.192517872,4.3461569286,31.9095002442,87.684272923,12.7150501081,8.39750167377,3767228954.51,-0.624826798855,0.00727216486705
"('5',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.95039343967,,16,16,0.147038421735,29,13,,16,16,,29,28,,,29,28,,29,28,3767232554.51,,29,28,12.0926947416,1003.60053599,370.111305577,5.69917273277,32.0400009155,86.5666388411,12.5892691921,8.32956709354,3767232554.51,-0.398429946717,0.125837621469
"('6',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.68973743172,,16,16,0.0243293760087,29,13,,16,16,,29,28,,,29,28,,29,28,3767236154.51,,29,28,11.9039611243,1003.90997314,367.349008843,6.11261807785,32.05877566,86.2826455466,12.5517549732,8.02450900583,3767236154.51,-0.244113696482,0.149470311591
"('7',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.54582508862,,16,16,0.0164662107909,29,13,,16,16,,29,28,,,29,28,,29,28,3767239754.51,,29,28,11.962173961,1003.98383702,367.936649315,5.99401113299,32.0408271996,85.0408942775,12.3808893974,8.10000038147,3767239754.51,-0.0887312063459,0.132080923095
"('8',)",9,44.63558,-124.3039,4.22060173179,16,16,4.54557486368,16,16,0.0326417977519,16,16,56.6874403581,16,16,28.0567550013,16,16,0.0433918820579,16,16,33.1319195049,29,28,7.08130330676,0.0168303995455,16,16,0.00822102176687,29,13,2.56323875912,16,16,7.48910148349,29,29,-0.0358158207518,11.8592909575,29,29,12.1442333478,29,29,3767243354.51,5.91330194453,29,29,11.7949546077,1004.42636278,348.049887731,5.71251054276,32.084821891,85.4914773812,12.2242235929,7.77410937684,3767243354.51,0.00724033905838,-0.0319208799517
"('9',)",9,44.63558,-124.3039,3.91558929093,16,16,4.14984895055,16,16,0.0260145858206,16,16,52.0335076747,16,16,20.2284859196,16,16,0.0250046714768,16,16,36.0271255926,29,28,6.94975429992,0.00678543558796,16,16,0.0034482934204,29,13,2.72086502688,16,16,7.60847666549,29,29,-0.0745689538688,11.7999451405,29,29,12.1752460143,29,29,3767246954.51,4.58692627195,29,29,11.7528152066,1004.88815929,337.330105601,4.17320067712,32.097669279,87.8846226666,12.295233018,7.37670420066,3767246954.51,0.0346254222968,-0.166387434338
