obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,218.425131762,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3760475349.47,,29,28,8.61215662539,1017.99167957,251.832887408,1.13832032313,51.9466832834,69.1410459972,10.0889997482,202.038510637,3760475349.47,0.00340766471183,0.00185968592821
"('1',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,62.2466696932,,16,16,0.00362884869142,29,13,,16,16,,29,28,,,29,28,,29,28,3760478949.47,,29,28,8.0531956812,1018.38171607,252.509762112,2.21765032926,51.9692689878,69.8046617082,10.1079998016,79.144058051,3760478949.47,-0.00775090946927,0.00796499302898
"('2',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.76683605302,,16,16,0.0232565122765,29,13,,16,16,,29,28,,,29,28,,29,28,3760482549.47,,29,28,7.65281323748,1018.56064051,313.527108694,2.10141020477,51.9785418388,72.6275477325,10.0819997787,2.20000004768,3760482549.47,0.00321867021526,0.0414102627314
"('3',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.80991524469,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3760486149.47,,29,28,7.98221714745,1018.58847132,276.63157622,2.28211655108,51.9832890732,73.7514193906,10.0489997864,1.88355269374,3760486149.47,-0.0541821010884,0.0454744831891
"('4',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.50727499136,,16,16,0.00727962343032,29,13,,16,16,,29,28,,,29,28,,29,28,3760489749.47,,29,28,7.85308231724,1018.39001465,256.367204243,4.02019707943,51.9811200443,76.5594404908,10.0373358103,1.52240526089,3760489749.47,-0.0390499785601,0.0947423771763
"('5',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.84507374131,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3760493349.47,,29,28,7.9241577324,1018.03640464,256.32568558,5.65948755576,51.9384630703,78.8493664319,10.1519743355,2.0,3760493349.47,-0.0136513161846,0.168594449623
"('6',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,1.95929994518,,16,16,0.0531252720317,29,13,,16,16,,29,28,,,29,28,,29,28,3760496949.47,,29,28,7.71774165063,1018.04998779,255.972278852,6.43456586157,51.9799995422,83.5404494606,9.87853482599,2.09999990463,3760496949.47,-0.0166302329795,0.131436680622
"('7',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.00852539662,,16,16,0.0186554052062,29,13,,16,16,,29,28,,,29,28,,29,28,3760500549.47,,29,28,7.5647796918,1017.56373474,255.978647218,6.35716803106,51.9726703185,84.9571231856,9.71057336039,2.2946616804,3760500549.47,-0.032364394365,0.185983182679
"('8',)",8,44.6395,-124.3015,23.1891212763,16,16,23.7025243547,16,16,-0.000304501910602,16,16,167.125752787,16,16,45.1112052612,16,16,0.0633719651028,16,16,103.256705214,29,28,2.06482499099,0.251901727574,16,16,0.0658445261293,29,13,20.5707655762,16,16,5.57016404194,29,29,-0.108276059953,7.65908842305,29,29,9.45993394003,29,29,3760504149.47,6.6349676551,29,29,7.46938376864,1017.5179402,255.800003052,5.3978520525,52.1006795255,85.4687643036,9.64476005717,2.21379967071,3760504149.47,-0.0476539360599,0.165684941289
"('9',)",8,44.6395,-124.3015,23.7923623853,16,16,24.3255873709,16,16,0.0680697788364,16,16,169.812559333,16,16,46.85361867,16,16,0.0707614604334,16,16,103.925650675,29,28,2.03962497184,0.0,16,16,0.0,29,13,21.0729149592,16,16,5.5622498693,29,29,-0.0942496464648,7.66225961342,29,29,9.44097757646,29,29,3760507749.47,6.9520885737,29,29,7.59103018097,1017.00537807,254.0,6.73733733169,51.9746324157,85.121526558,9.64406624037,2.20000004768,3760507749.47,-0.0864158395966,0.147529360292
"('10',)",8,44.6395,-124.3015,22.7756482048,16,16,23.2883737289,16,16,0.0655172545576,16,16,168.029609909,16,16,45.0971395785,16,16,0.0432710275382,16,16,104.603447281,29,28,1.83172498235,0.0,16,16,0.0,29,13,20.1607480318,16,16,5.32907362353,29,29,-0.187799448226,7.38664724184,29,29,9.37982163559,29,29,3760511349.47,5.59725213897,29,29,7.21301180953,1016.60021539,254.099492289,5.87924499742,52.0900857861,83.3395921414,9.61801030595,1.89999997616,3760511349.47,-0.0291614521681,0.138591829112
"('11',)",8,44.6395,-124.3015,17.6327923475,16,16,17.9945899982,16,16,0.0439868552199,16,16,152.225674672,16,16,31.8830618802,16,16,0.0138084123861,16,16,105.856958196,29,28,1.31354997334,0.0115802398998,16,16,0.00233357747396,29,13,15.7876243289,16,16,5.08259824445,29,29,-0.781532484824,6.82580701407,29,29,9.27496054115,29,29,3760514949.47,3.07828054098,29,29,6.69863308365,1016.50645759,251.588781972,2.97912899095,52.0321445372,83.1520354535,9.66255120149,1.39999997616,3760514949.47,-0.0678648753361,0.114320984974
"('12',)",8,44.6395,-124.3015,17.7413741922,16,16,18.1199977192,16,16,0.0484855427987,16,16,154.561447257,16,16,33.3745284424,16,16,0.0135723632911,16,16,106.871483624,29,28,1.49495901455,0.0,16,16,0.0,29,13,15.8103942047,16,16,4.95886143331,29,29,-0.806646967269,6.76256508272,29,29,9.22967612638,29,29,3760518549.47,3.04517290453,29,29,6.65400415922,1015.8901335,250.886545282,2.95391424752,52.0386533325,82.044188359,9.61459631324,1.62836414287,3760518549.47,-0.0431164741981,0.102799833679
"('13',)",8,44.6395,-124.3015,24.4125929521,16,16,24.9393773632,16,16,0.0669014018945,16,16,174.09493596,16,16,46.4646721654,16,16,0.0259580891194,16,16,107.616241745,29,28,1.71517499211,0.00320458636993,16,16,0.000595699372838,29,13,21.7259924554,16,16,4.82585806487,29,29,-0.428544317581,6.62582252039,29,29,9.19703497546,29,29,3760522149.47,4.33145617158,29,29,6.33478503762,1015.92025616,248.938431803,3.16915810143,52.0770640656,80.409117596,9.51702798392,1.58531152902,3760522149.47,-0.0419170461328,0.129395506704
"('14',)",8,44.6395,-124.3015,19.7323190272,16,16,20.162794008,16,16,0.0546860035873,16,16,160.070476574,16,16,37.9546908859,16,16,0.0188842970832,16,16,107.254654341,29,28,2.67803391053,0.00226863269459,16,16,0.000446429495085,29,13,17.5368966248,16,16,4.92428632538,29,29,-0.554354667613,6.7352565078,29,29,9.12763481849,29,29,3760525749.47,3.67783319708,29,29,6.63566361527,1015.63000488,249.253068197,4.25979416366,51.9726546819,80.3100664889,9.4846458731,1.70442265875,3760525749.47,-0.02780276359,0.0701776723641
"('15',)",8,44.6395,-124.3015,16.188771595,16,16,16.5930878185,16,16,0.0185041174941,16,16,96.7824628244,16,16,35.6095804891,16,16,0.0167403045518,16,16,108.008346439,29,28,61.1241753094,0.161952351305,16,16,0.0332201176444,29,13,14.1267588548,16,16,4.91272269525,29,29,-0.545841265527,7.03754134125,29,29,9.09104562775,29,29,3760529349.47,3.47014955075,29,29,6.95715843796,1015.42999268,248.723904497,2.96433989459,51.9786231152,79.4447717138,9.45779741346,57.8906379042,3760529349.47,-0.0238153309504,0.0970831366183
