obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.10299998498,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3754081765.8,,29,28,10.9558983727,1008.79971627,352.700012207,13.3394262595,39.2555926974,89.1224757899,11.2789268225,4.80734318945,3754081765.8,0.113347699879,0.452252467094
"('1',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.56737497747,,16,16,0.881166712443,29,29,,16,16,,29,28,,,29,28,,29,28,3754085365.8,,29,28,10.2420501771,1007.84002686,351.232896215,14.4960247095,40.1926564898,90.635521321,11.2616013791,3.79999995232,3754085365.8,0.143010444973,0.503207123001
"('2',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.52957499474,,16,16,0.856499989827,29,29,,16,16,,29,28,,,29,28,,29,28,3754088965.8,,29,28,9.9139995575,1006.80999756,352.490239203,14.9432343758,41.0170725167,93.9228053396,11.300902093,3.7902397608,3754088965.8,0.221249820656,0.540297365663
"('3',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.54297540688,,16,16,0.888898736922,29,29,,16,16,,29,28,,,29,28,,29,28,3754092565.8,,29,28,10.0944368253,1006.51042271,352.408079057,15.7272306349,41.8843979661,93.122242433,11.3095601042,3.7280064977,3754092565.8,0.224118362637,0.53425176006
"('4',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.49970338601,,16,16,0.702408906386,29,29,,16,16,,29,28,,,29,28,,29,28,3754096165.8,,29,28,10.1222850701,1006.19762317,354.977138981,13.9553272844,42.608476523,94.7717831802,11.315961868,3.8923798313,3754096165.8,0.161045441425,0.58769882217
"('5',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.54452459681,,16,16,0.725132107238,29,29,,16,16,,29,28,,,29,28,,29,28,3754099765.8,,29,28,10.8685365597,1005.0420055,357.889748708,17.777434863,43.3322453404,93.4733779377,11.3364491872,3.70000004768,3754099765.8,0.285275845432,0.702669631533
"('6',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.44044064283,,16,16,0.550291880199,29,29,,16,16,,29,28,,,29,28,,29,28,3754103365.8,,29,28,10.7766202816,1005.32317659,358.794919765,18.2757076614,43.8199996948,97.6130069998,11.3349746854,3.60506839833,3754103365.8,0.301058733089,0.779031076987
"('7',)",8,44.6395,-124.3015,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.43192497146,,16,16,0.933601265169,29,29,,16,16,,29,28,,,29,28,,29,28,3754106965.8,,29,28,10.9140111121,1005.50374104,360.807283296,16.2997973435,44.8567034287,97.6014618785,11.3497320912,3.58659082671,3754106965.8,0.257790159678,0.867788545282
"('8',)",8,44.6395,-124.3015,1.46974458684,16,16,1.53397827895,16,16,-0.691948395681,16,16,12.6348512277,16,16,5.56133649767,16,16,0.907578011191,16,16,9.13174143075,29,28,3.45002456505,0.249645107247,16,16,0.700041175801,29,29,1.14215275709,16,16,8.14179143734,29,29,-0.000127614500318,11.2836166983,29,29,11.340581927,29,29,3754110565.8,18.3453618338,29,29,11.2027219433,1005.16505938,363.302581402,16.3378304715,45.5600013733,97.6416838646,11.3470884675,3.61518611495,3754110565.8,0.33940159415,0.834824892446
"('9',)",8,44.6395,-124.3015,-6.30939798898,16,16,-6.28424476083,16,16,-0.330140388629,16,16,0.687177761396,16,16,2.17571247703,16,16,0.832925788899,16,16,8.34654376738,29,28,3.45325420903,0.055855178556,16,16,0.333306440018,29,29,-6.43767945254,16,16,8.19001261812,29,29,0.000594576265489,11.5386150647,29,29,11.3393935034,29,29,3754114165.8,17.848929229,29,29,11.468000412,1004.12061442,362.998791733,16.0429706714,45.8100013733,96.7979119414,11.3389982387,3.59999990463,3754114165.8,0.344083976378,0.861011842916
"('10',)",8,44.6395,-124.3015,-1.10254149677,16,16,-1.08158972859,16,16,-0.763347111679,16,16,5.05833328562,16,16,1.81339319717,16,16,0.854677149131,16,16,7.67620895734,29,28,3.4130249632,0.191151608802,16,16,0.765985956569,29,29,-1.20939551449,16,16,8.20884752121,29,29,9.8550886464e-05,11.3721529945,29,29,11.3509971829,29,29,3754117765.8,17.9952522887,29,29,11.2761588371,1003.4702027,364.170755679,18.233401582,46.6899986267,97.6925919196,11.3551431925,3.70000004768,3754117765.8,0.218139180073,0.961935189752
"('11',)",8,44.6395,-124.3015,-3.59497868789,16,16,-3.61022203472,16,16,-0.853252296107,16,16,-1.05568385679,16,16,-1.31876451469,16,16,0.946938529895,16,16,7.03555155783,29,28,3.38782494968,0.132591668768,16,16,0.851333173116,29,29,-3.51723761902,16,16,8.27467519069,29,29,0.000281624990419,11.4800770923,29,29,11.3860041636,29,29,3754121365.8,18.6369284,29,29,11.4899997711,1003.09579887,364.56032976,17.2704986052,47.4807439659,97.7580054305,11.3896035698,3.59999990463,3754121365.8,0.315524403258,0.883282737939
"('12',)",8,44.6395,-124.3015,-0.311955755366,16,16,-0.297188714154,16,16,-1.36364052176,16,16,5.71976750169,16,16,1.27788660323,16,16,0.198059826193,16,16,7.83611595712,29,28,3.37679998273,0.369832589614,16,16,1.36550019582,29,29,-0.387267665545,16,16,8.22168473149,29,29,0.000242918851121,11.405547476,29,29,11.4020146802,29,29,3754124965.8,10.7713523067,29,29,11.5496279078,1004.1223644,364.5,13.3381703229,49.3688144173,97.7615103194,11.4070672861,3.79661560948,3754124965.8,0.251016974563,0.892776099083
