obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,530.13415744,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3769115337.4,,29,28,13.608141461,1023.1842515,309.534800525,7.96025218103,37.1500015259,84.6899819622,12.0301752633,577.623357311,3769115337.4,-0.350337114595,-0.823238270315
"('1',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,333.379981291,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3769118937.4,,29,28,13.5089998245,1022.73999023,311.200012207,7.38067855538,37.139478721,84.6327307888,11.8743119919,339.781493515,3769118937.4,-0.401269947036,-0.853298191173
"('2',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,177.74055733,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3769122537.4,,29,28,13.1510002582,1022.16090056,309.299987793,8.95732382129,37.1500015259,85.1168188957,11.5759089351,186.963605375,3769122537.4,-0.466228913181,-0.853861944928
"('3',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,45.6979574041,,16,16,0.00566009390053,29,13,,16,16,,29,28,,,29,28,,29,28,3769126137.4,,29,28,12.8895405374,1022.47381364,314.532843422,9.16926385173,37.146060225,86.2914776293,11.3685104707,39.7510784169,3769126137.4,-0.544591131797,-0.75678395788
"('4',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.90140001953,,16,16,0.0185395450915,29,13,,16,16,,29,28,,,29,28,,29,28,3769129737.4,,29,28,12.5645564324,1022.66998291,314.399993896,8.61860426638,37.1528884471,85.3707419422,10.9078034467,4.51924690615,3769129737.4,-0.444310044616,-0.666424672452
"('5',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.03514998198,,16,16,0.00299968719483,29,13,,16,16,,29,28,,,29,28,,29,28,3769133337.4,,29,28,12.4767000682,1023.07301397,314.0,8.88645999494,37.1399993896,83.6963008479,10.4781990023,4.5,3769133337.4,-0.496875288545,-0.644824328043
"('6',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.28193435384,,16,16,0.00607915471812,29,13,,16,16,,29,28,,,29,28,,29,28,3769136937.4,,29,28,12.4530000687,1023.35170407,316.0,8.63503105399,37.1599998474,81.5794634319,10.2964195866,4.17634149169,3769136937.4,-0.383633271087,-0.566039192478
"('7',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.2226999985,,16,16,0.0157538200337,29,13,,16,16,,29,28,,,29,28,,29,28,3769140537.4,,29,28,11.9542139223,1023.14635611,314.299987793,8.20076100217,37.2073791797,83.932616391,10.0260000229,5.50523988445,3769140537.4,-0.366197518651,-0.569541466812
"('8',)",9,44.63558,-124.3039,-24.6655424512,16,16,-24.6296088545,16,16,0.0045154521315,16,16,19.1353596381,16,16,3.10696820573,16,16,0.101250183119,16,16,46.5792290868,29,28,5.70203386012,-0.0,16,0,0.0,29,13,-24.8488037943,16,16,7.27649443399,29,29,0.0553199531299,11.871181602,29,29,9.98833517743,29,29,3769144137.4,8.77594035099,29,29,12.0167105534,1022.81420453,316.660929226,7.16677099576,37.1699981689,84.5031698076,10.0066246936,6.69999980927,3769144137.4,-0.311505963807,-0.562914421154
"('9',)",9,44.63558,-124.3039,-19.7138000483,16,16,-19.6815023867,16,16,-0.0123148178972,16,16,26.1310408399,16,16,2.79482375772,16,16,0.0758761858838,16,16,47.0990960675,29,28,3.87604917368,-0.00831168901431,16,0,0.0163766013546,29,13,-19.8785181226,16,16,7.26980140135,29,29,0.0682111422366,11.6515858249,29,29,9.97347346007,29,29,3769147737.4,7.9305758224,29,29,11.7475783758,1022.86678573,315.933025821,6.8950216108,37.1976148624,85.8812920665,10.0080003738,4.05229213007,3769147737.4,-0.240356591367,-0.498526207118
"('10',)",9,44.63558,-124.3039,-18.5863614142,16,16,-18.5574241855,16,16,-0.0024757371376,16,16,26.12499005,16,16,2.50410679758,16,16,0.0688787853348,16,16,46.7521013682,29,28,4.39424996245,-0.00302687257498,16,0,0.00611509833831,29,13,-18.7339412807,16,16,7.28759042849,29,29,0.074361615593,11.6361309997,29,29,9.99517734255,29,29,3769151337.4,7.67151679746,29,29,11.7807674077,1022.74491896,317.108221475,6.47051865423,37.2091777354,85.8559614473,10.0234926983,4.59999990463,3769151337.4,-0.193529100595,-0.479655251437
