obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,452.708553268,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765659381.28,,29,28,11.9399995804,1018.94000244,286.380421034,6.58809888046,20.1188517867,79.8551814438,10.9091955325,485.017407564,3765659381.28,-0.322648550292,-0.905556000611
"('1',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,268.352114234,,16,16,0.00154653246937,29,13,,16,16,,29,28,,,29,28,,29,28,3765662981.28,,29,28,12.008769607,1018.79653359,285.790374029,5.6962228662,20.1128853265,78.0632115461,10.8753080279,280.292478389,3765662981.28,-0.447865488488,-0.924057127987
"('2',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,97.6940995073,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3765666581.28,,29,28,11.9849996567,1018.39001465,287.720659889,5.15200789184,20.1200008392,77.507028424,10.916013426,110.990846848,3765666581.28,-0.464506649294,-0.847871735826
"('3',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,11.3255847748,,16,16,0.00559006114464,29,13,,16,16,,29,28,,,29,28,,29,28,3765670181.28,,29,28,11.5564325919,1018.32000732,290.087638551,4.74876320013,20.1206190753,80.9119556992,10.7258660535,6.20618323162,3765670181.28,-0.544075736907,-0.745096178084
"('4',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.75965001953,,16,16,0.00390932977536,29,13,,16,16,,29,28,,,29,28,,29,28,3765673781.28,,29,28,11.4124130652,1018.38639752,292.494832892,5.21616227421,20.1005170726,84.9351972044,10.8003431537,4.0948331169,3765673781.28,-0.572671538911,-0.786155678886
"('5',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.83052501202,,16,16,0.00450003941854,29,13,,16,16,,29,28,,,29,28,,29,28,3765677381.28,,29,28,11.2413084734,1018.39001465,290.934048458,5.10995217129,20.1202153108,85.5602649428,10.7167243887,5.30000019073,3765677381.28,-0.543521665061,-0.756616520352
"('6',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,4.88407502854,,16,16,0.0043332417806,29,13,,16,16,,29,28,,,29,28,,29,28,3765680981.28,,29,28,11.2151195469,1018.4688235,289.875422289,4.92118681084,20.1312564184,84.0689179959,10.6732400781,5.41257237153,3765680981.28,-0.541895044379,-0.757956131789
"('7',)",9,44.63558,-124.3039,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.1833249985,,16,16,0.000666681925455,29,13,,16,16,,29,28,,,29,28,,29,28,3765684581.28,,29,28,11.1625986144,1018.60559694,287.397317179,5.04718239634,20.149731957,83.3800149474,10.6166960803,5.40535319927,3765684581.28,-0.567908188924,-0.730939737568
"('8',)",9,44.63558,-124.3039,-3.92909408854,16,16,-3.77611339657,16,16,0.0154990895828,16,16,77.1013395859,16,16,13.2643218807,16,16,0.0325050423087,16,16,73.6393119401,29,28,5.09680326391,0.00380464658456,16,16,0.00378957498269,29,13,-4.70929561758,16,16,7.01546356549,29,29,0.0467855912482,11.0146920603,29,29,10.4785992169,29,29,3765688181.28,5.49848479113,29,29,11.0408703756,1018.80999756,291.640263332,5.55367758614,20.1426616333,86.0596138607,10.6279929611,4.80000019073,3765688181.28,-0.580157439574,-0.727396649096
"('9',)",9,44.63558,-124.3039,-2.42502061981,16,16,-2.30531119474,16,16,0.0151006500993,16,16,72.9324396673,16,16,10.3842217673,16,16,0.0212002690967,16,16,70.5618244026,29,28,4.97806781494,0.0,16,16,0.0,29,13,-3.03553868769,16,16,7.02844278405,29,29,0.0542510339803,10.8920773104,29,29,10.4675897415,29,29,3765691781.28,4.54004708318,29,29,10.9148638649,1018.9388966,292.802539799,3.81389200235,20.1499145549,86.5047208191,10.6318383519,6.09744805727,3765691781.28,-0.590206818107,-0.692646302508
