obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,286.56599968,,16,0,0.0,29,13,,16,0,,29,12,,,29,12,,29,12,3746995476.3,,29,12,15.1294405111,1017.64026082,289.773393416,7.63615832505,3.43486250259,84.6245832636,13.3447341581,314.431290309,3746995476.3,-0.296481850264,-0.314620510481
"('1',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,110.706751442,,16,0,0.0,29,13,,16,0,,29,12,,,29,12,,29,12,3746999076.3,,29,12,14.9721790332,1017.04243548,291.977370112,7.46772894847,3.33226240073,86.5940272304,13.3159933871,161.53191055,3746999076.3,-0.312584297714,-0.269689650264
"('2',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,6.04799997747,,16,0,0.0,29,13,,16,0,,29,12,,,29,12,,29,12,3747002676.3,,29,12,14.8407065649,1016.65900227,292.877440986,6.57605478218,3.28372597309,88.0868987431,13.3489024372,43.0476463881,3747002676.3,-0.279776355638,-0.181691260354
"('3',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,5.94405000901,,16,0,0.0,29,13,,16,0,,29,12,,,29,12,,29,12,3747006276.3,,29,12,14.7275262409,1016.59997559,296.706531077,7.61487495003,3.25963559016,89.2695903639,13.3186648552,5.28906803548,3747006276.3,-0.206931609141,-0.184540674005
"('4',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,5.88000005007,,16,0,0.0341110785802,29,13,,16,0,,29,12,,,29,12,,29,12,3747009876.3,,29,12,14.5897088581,1016.64811464,299.157831515,6.27050268869,3.2426534422,90.1365472193,13.3142038832,5.1857406144,3747009876.3,-0.18176682582,-0.185878941949
"('5',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,6.01649991989,,16,0,0.042222181956,29,13,,16,0,,29,12,,,29,12,,29,12,3747013476.3,,29,12,14.5207463256,1016.59240062,300.830187378,6.08813288399,3.32108266182,90.712870114,13.2938179047,5.24330927978,3747013476.3,-0.190871295674,-0.0629801815491
"('6',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,6.01649991989,,16,0,0.10666680336,29,13,,16,0,,29,12,,,29,12,,29,12,3747017076.3,,29,12,14.4550386842,1016.10908322,302.0,6.3686365317,3.37889671305,90.7878451892,13.2297913028,5.37075185786,3747017076.3,-0.179420812232,0.0203243588307
"('7',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,6.0584999299,,16,0,0.144444333182,29,13,,16,0,,29,12,,,29,12,,29,12,3747020676.3,,29,12,14.4016049516,1015.97998047,302.187786,6.63122571181,3.5189121505,90.6999873136,13.2156260542,5.32786459954,3747020676.3,-0.131559407778,0.0458650901518
"('8',)",6,44.36608,-124.93985,,16,0,,16,0,,16,0,,16,0,,16,0,,16,0,,29,12,5.91806248873,,16,0,0.198055578603,29,13,,16,0,,29,12,,,29,12,,29,12,3747024276.3,,29,12,14.3743976875,1015.85855888,303.813280786,5.5213144465,3.67939663841,90.6915906043,13.2158918917,5.32772770191,3747024276.3,-0.109004320548,0.0468649884897
"('9',)",6,44.36608,-124.93985,-10.8758427845,16,0,-10.8906681193,16,0,-0.0433479654495,16,0,116.13278562,16,0,-1.26765968594,16,0,0.0380570545684,16,0,134.152973805,29,12,5.94405000901,-0.00824491392248,16,0,0.0414999842644,29,13,-10.8002335767,16,0,9.14213581774,29,13,0.104349394541,14.213369012,29,13,13.0149311228,29,13,3747027876.3,6.18941522952,29,13,14.3300798668,1015.52531475,128.646377293,5.80148268726,3.8037543285,90.7328443242,13.2105482944,5.27043848818,3747027876.3,-0.131228273754,0.0141953531209
"('10',)",6,44.36608,-124.93985,-9.44239938569,16,0,-9.45387252402,16,0,-0.0207634506636,16,0,59.1527841844,16,0,-0.981018656371,16,0,0.0303924439683,16,0,75.4657244271,29,12,5.94299998999,-0.00503521615882,16,0,0.0193333705266,29,13,-9.38388638019,16,0,9.16584202012,29,13,0.126891265325,14.220427348,29,13,13.065282402,29,13,3747031476.3,5.6969428535,29,13,14.3227247785,1015.26805993,302.614630699,5.36744356063,3.83059240811,90.7196585698,13.1963834842,5.22752715867,3747031476.3,-0.109027136768,0.0172145089477
"('11',)",6,44.36608,-124.93985,-11.5297903207,16,0,-11.5750813329,16,0,-0.01897889468,16,0,117.02322942,16,0,-3.87301537254,16,0,0.037171511068,16,0,138.248224233,29,12,6.04799993992,-0.0051733418055,16,0,0.0133332941267,29,13,-11.2988061584,16,0,9.21738340461,29,13,0.114852337057,14.1995162957,29,13,12.9297475879,29,13,3747035076.3,6.17454392704,29,13,14.314048765,1015.05805454,127.510714134,4.40718837632,3.84843315459,91.2357874842,13.1502400523,5.2854911434,3747035076.3,-0.0415179362955,-0.0114288761194
"('12',)",6,44.36608,-124.93985,-11.5428813617,16,0,-11.5782662991,16,0,-0.0199665286541,16,0,52.5964819484,16,0,-3.02602269804,16,0,0.0452880203726,16,0,73.0076154275,29,12,6.01649991989,-0.00619268054532,16,0,0.0155555937025,29,13,-11.3624181806,16,0,9.23291972048,29,13,0.0854412907675,14.2102707443,29,13,13.035874796,29,13,3747038676.3,6.57294608367,29,13,14.3227192647,1014.57812766,304.620334123,5.95063533426,3.84843698284,91.4660466767,13.1237964961,5.32807845334,3747038676.3,0.0143200473157,-0.0569051929672
"('13',)",6,44.36608,-124.93985,-14.5755171822,16,0,-14.6045521153,16,0,-0.0147280607236,16,0,49.794882352,16,0,-2.48125727749,16,0,0.0619573802662,16,0,72.9349459167,29,12,6.22650012016,-0.0048671435127,16,0,0.0111111270057,29,13,-14.4274390236,16,0,9.22463450234,29,13,0.0672869049106,14.3995361059,29,13,13.0761180028,29,13,3747042276.3,7.36808476012,29,13,14.4279404716,1014.43811505,305.382837036,6.59370181871,3.87687442471,90.9540738146,13.137719236,5.44372216089,3747042276.3,0.0102329182842,-0.169682714665
"('14',)",6,44.36608,-124.93985,-11.2152842146,16,0,-11.2421149034,16,0,-0.00778753300902,16,0,25.527167576,16,0,-2.29357473982,16,0,0.0322707076253,16,0,73.3621823312,29,12,34.4609998798,-0.00199243390953,16,0,0.00444441371494,29,13,-11.0784477017,16,0,9.17950420977,29,13,0.137801378356,14.3030553549,29,13,12.9729376149,29,13,3747045876.3,5.89818716593,29,13,14.4370793578,1014.58134893,305.484428068,5.14243926276,3.8795501334,90.4712618761,13.108283809,15.1055402582,3747045876.3,-0.0518571565441,-0.243719785477
"('15',)",6,44.36608,-124.93985,-11.329209001,16,0,-11.3470635602,16,0,-0.00222385105233,16,0,-106.091532905,16,0,-1.52572782925,16,0,0.0285082990459,16,0,76.6620985573,29,12,169.989752884,-0.0,16,0,0.0,29,13,-11.2381507494,16,0,9.12864478511,29,13,0.167411566069,14.3894737739,29,13,12.9429770949,29,13,3747049476.3,5.68948335381,29,13,14.4856757438,1014.64046717,301.391305594,4.61001255492,3.86059311289,89.7954965873,13.0611183358,93.8172343687,3747049476.3,-0.100146849796,-0.19317860573
"('16',)",6,44.36608,-124.93985,-16.8207997924,16,0,-16.847974773,16,0,-0.00338180066325,16,0,-220.678267767,16,0,-2.32020154479,16,0,0.0498206482513,16,0,78.1740783605,29,12,279.849937191,-0.0,16,0,0.0,29,13,-16.6822073916,16,0,9.15577671408,29,13,0.107490409463,14.6415924053,29,13,12.9613220668,29,13,3747053076.3,6.95625514358,29,13,14.7926127647,1014.5188876,298.747755403,5.73829177913,3.91204252276,87.7725850359,13.0223185907,293.842439033,3747053076.3,-0.0825033056415,-0.086054398161
"('17',)",6,44.36608,-124.93985,-13.3327062394,16,0,-13.3680184142,16,0,-0.0043948825987,16,0,-374.647041159,16,0,-3.01505685469,16,0,0.0328549780128,16,0,78.4979235067,29,12,436.977293664,-0.0,16,0,0.0,29,13,-13.1526141475,16,0,9.24325506539,29,13,0.15923865335,14.5981379512,29,13,13.0214495248,29,13,3747056676.3,6.03446683913,29,13,14.7174429166,1014.72441908,299.67740597,5.52086899777,3.83889678872,89.2507958633,13.1017777247,460.284827206,3747056676.3,-0.0262828774098,-0.054155497778
"('18',)",6,44.36608,-124.93985,-10.7631841584,16,0,-10.7879178211,16,0,-0.00307880685914,16,0,-492.216804025,16,0,-2.11184781801,16,0,0.0276447154513,16,0,78.7323730384,29,12,558.200286767,-0.0,16,0,0.0,29,13,-10.6370424788,16,0,9.30315593921,29,13,0.166515614448,14.5703275543,29,13,13.180572214,29,13,3747060276.3,5.60808130219,29,13,14.6918693168,1014.68337354,302.430544436,6.10145353416,3.82382542484,90.0362063254,13.2813386505,599.99864349,3747060276.3,-0.100966004193,-0.0123501290402
