obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,70.3920001602,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3758400580.14,,29,28,7.54431811536,1012.77832518,277.169496752,0.758657564812,50.235788238,70.3698809977,10.886421104,79.2843403597,3758400580.14,0.053458403847,0.0355415291468
"('1',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,51.785999279,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3758404180.14,,29,28,7.74713251978,1012.9934844,219.241310135,3.54251158326,50.1847812032,68.423421606,10.9134791422,52.0520445084,3758404180.14,0.0543814768481,0.0173576036098
"('2',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.63087498873,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3758411380.14,,29,28,7.93645219383,1014.2929046,33.8340448167,0.671435622362,50.1638241883,70.9677055508,10.9917215072,41.0142347196,3758411380.14,0.133700105684,-0.0136925280342
"('3',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.87449990988,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3758414980.14,,29,28,7.87547187519,1014.66386561,318.233630656,7.79325246586,50.1734828062,68.1624106646,11.0152028597,8.07239529605,3758414980.14,0.126416945849,-0.0119972958871
"('4',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.55449993491,,16,16,0.00611178080241,29,13,,16,16,,29,28,,,29,28,,29,28,3758422180.14,,29,28,7.76511653066,1015.48104202,267.45621348,1.24746608235,50.1874521575,64.1512005471,11.0801591445,23.9970908183,3758422180.14,0.0637332602547,0.00904446165186
"('5',)",7,44.38,-124.95,29.8544166893,16,16,30.515989898,16,16,0.0845407547877,16,16,127.416833821,16,16,58.1625428913,16,16,0.0137761832541,16,16,46.6122449786,29,28,3.83906247184,0.000715098013726,16,16,9.25593905971e-05,29,13,26.4803933251,16,16,4.45556157309,29,29,-1.29611437688,7.07687926198,29,29,10.979499045,29,29,3758432980.14,2.96523822707,29,29,7.01337423404,1017.6821817,299.931283535,1.2282427127,50.212397595,70.0376045368,11.262655292,2.52672429043,3758432980.14,0.000653435048814,0.0736068194773
"('6',)",7,44.38,-124.95,33.7282408082,16,16,34.4925913518,16,16,0.0977459708714,16,16,134.82963242,16,16,67.1737191847,16,16,0.019718495087,16,16,42.1728601093,29,28,4.34699990988,0.0,16,16,0.0,29,13,29.8300530359,16,16,4.45571570336,29,29,-0.873146344581,7.1861611872,29,29,11.0080070372,29,29,3758436580.14,3.65059044236,29,29,7.00842263968,1018.19590019,327.958722783,2.97179627891,50.1695522552,70.0217976031,11.2918160842,4.1995004969,3758436580.14,0.00655469760119,0.108567732201
"('7',)",7,44.38,-124.95,36.0468738238,16,16,36.8436481287,16,16,0.100742710349,16,16,131.055756405,16,16,70.0958532505,16,16,0.0200007595046,16,16,32.5457792509,29,28,3.57918743804,0.00998647261176,16,16,0.00124979019165,29,13,31.9833248687,16,16,4.31590962743,29,29,-0.913063624669,6.91603748888,29,29,10.9623871297,29,29,3758443780.14,3.66116349202,29,29,6.8296211043,1019.06196317,335.0129839,0.635955330269,50.127644693,68.5208413234,11.2589892931,2.59308074905,3758443780.14,0.0446127220937,0.190830374556
"('8',)",7,44.38,-124.95,41.6137880829,16,16,42.5187248434,16,16,0.0283514739182,16,16,146.602638063,16,16,79.6212119,16,16,0.0280302287091,16,16,33.349996346,29,28,4.06350018024,0.696319392838,16,16,0.0875005722046,29,13,36.9986106042,16,16,4.3605504415,29,29,-0.643447366711,6.8973674782,29,29,10.970384559,29,29,3758447380.14,4.3780848651,29,29,6.69279630839,1019.62610938,326.287408574,3.52453568885,50.2595504995,70.1373286212,11.2410001755,4.59607553288,3758447380.14,0.0556820082922,0.171110065469
"('9',)",7,44.38,-124.95,40.7990325913,16,16,41.680654752,16,16,0.11293823023,16,16,189.726541937,16,16,77.6182064711,16,16,0.0253000345524,16,16,85.6230760946,29,28,9.81750020027,0.0,16,16,0.0,29,13,36.3027595715,16,16,4.24633080836,29,29,-0.733782386487,6.71809841578,29,29,10.8743825784,29,29,3758454580.14,4.14211919104,29,29,6.48737091158,1020.97464445,290.931894722,0.617418068754,50.2176260108,69.8417701715,11.2410001755,5.78390872565,3758454580.14,0.0696616360026,0.0692948024342
