obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,301.811999359,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3746477076.65,,29,28,16.1943749892,1019.77789122,292.626763398,3.9970540993,54.4953346068,80.4939921613,16.2073823729,326.266268121,3746477076.65,-0.161103177358,-0.136075046612
"('1',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,115.677449135,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3746480676.65,,29,28,16.2110253426,1019.22760085,292.056599302,3.26667931244,54.6473494433,78.9853330318,16.1386393133,161.643475583,3746480676.65,-0.0884764342458,-0.073843040836
"('2',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,6.0716249831,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3746484276.65,,29,28,15.9995765918,1018.92368798,293.131594451,3.33145869403,54.612635371,81.4859659443,16.0844723548,39.1099002201,3746484276.65,-0.070106202004,-0.0716344849706
"('3',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.66054987383,,16,16,0.0,29,29,,16,16,,29,28,,,29,28,,29,28,3746487876.65,,29,28,15.8500867955,1018.98045298,294.977798297,3.34922367724,53.816863063,83.1073635548,15.9928864208,5.02883034385,3746487876.65,-0.0770202032174,-0.053314334662
"('4',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.58599987984,,16,16,0.0783340454102,29,29,,16,16,,29,28,,,29,28,,29,28,3746491476.65,,29,28,15.7943205098,1018.92377044,295.583699564,3.36892638221,53.3879200884,82.446489852,15.913539744,5.00056590469,3746491476.65,-0.0274719043898,-0.0240464503856
"('5',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.5334999299,,16,16,0.0011109246148,29,29,,16,16,,29,28,,,29,28,,29,28,3746495076.65,,29,28,15.6874610714,1018.47857875,125.025159195,4.41808801833,53.6191983692,84.1514691711,15.9497099356,4.84362457335,3746495076.65,-0.1009154161,-0.111177669085
"('6',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.72906255633,,16,16,0.0380560027228,29,29,,16,16,,29,28,,,29,28,,29,28,3746498676.65,,29,28,15.5482135536,1018.10223812,301.966799162,4.220230141,53.7553347132,85.8735123593,15.9631069065,4.9612643861,3746498676.65,-0.196702389021,-0.20994444525
"('7',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.49045003605,,16,16,0.582499790192,29,29,,16,16,,29,28,,,29,28,,29,28,3746502276.65,,29,28,15.4352258534,1017.67322926,300.674681768,2.68193309179,54.2716892472,87.5759445089,15.9150420256,4.9718376302,3746502276.65,-0.156473031887,-0.222192590427
"('8',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.28018764645,,16,16,0.63499994278,29,29,,16,16,,29,28,,,29,28,,29,28,3746505876.65,,29,28,15.2686957393,1017.44451344,296.369055488,3.24890514994,54.8028634696,88.4439731186,15.7518321855,4.78749082221,3746505876.65,-0.136674721317,-0.138463173483
"('9',)",6,44.36608,-124.93985,2.0412501032,16,16,2.1891073666,16,16,0.0183779404088,16,16,101.981131474,16,16,12.5754902826,16,16,0.00818848703006,16,16,93.4629632416,29,28,5.34450011015,0.0,16,16,0.0,29,29,1.28717805987,16,16,9.51094575011,29,29,-0.205047488896,15.1726479125,29,29,15.4769003158,29,29,3746509476.65,2.52741911512,29,29,15.126267391,1017.26849224,297.153705335,2.64077599135,55.5788244444,88.6766427057,15.7607232463,4.76166527938,3746509476.65,-0.211093139489,-0.125321993733
