obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,224.569799423,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3743712273.05,,29,28,15.8036227728,1018.06134703,358.291050544,4.22051405471,46.5415547982,86.9040117361,14.9883766578,262.579591854,3743712273.05,-0.047483834109,0.00985800813599
"('1',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,135.926438041,,16,16,0.0292503356934,29,13,,16,16,,29,28,,,29,28,,29,28,3743715873.05,,29,28,15.8945071801,1017.61907972,356.308113542,5.18112322353,46.5773415293,85.8248501217,14.9456703527,172.957800678,3743715873.05,0.0404990582422,-0.0161258684504
"('2',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,42.5145001602,,16,16,0.0304164886475,29,13,,16,16,,29,28,,,29,28,,29,28,3743719473.05,,29,28,15.7579012499,1017.55999756,353.282168798,4.23730039889,46.5915413276,86.7194735213,14.9277233884,73.5465003783,3743719473.05,0.03676125193,-0.0304846003624
"('3',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,9.91305005407,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3743723073.05,,29,28,15.7453691551,1017.58959795,361.677862792,4.67183545724,46.6442284785,86.2705438472,14.8725302259,18.8550289295,3743723073.05,-0.0132793365961,-0.0348676866113
"('4',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.17018747747,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3743726673.05,,29,28,15.4894060249,1017.54557914,362.884413534,4.14448761243,46.6226631833,88.4004412607,14.8371757574,7.58442050757,3743726673.05,-0.0426700519711,-0.0119515991799
"('5',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.23449995995,,16,16,0.114444308811,29,13,,16,16,,29,28,,,29,28,,29,28,3743730273.05,,29,28,15.4457342655,1017.5,363.346463675,4.55782828067,46.6877435455,88.8024386108,14.8037897206,7.62677000531,3743730273.05,-0.0143080343289,-0.0210886816324
"('6',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.2134999299,,16,16,0.0533332824707,29,13,,16,16,,29,28,,,29,28,,29,28,3743733873.05,,29,28,15.3910779113,1017.45957953,154.427226552,4.33021032844,46.7588678443,89.1134138058,14.7784940968,7.68452505518,3743733873.05,0.0287444461274,-0.0904841302185
"('7',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.38044999099,,16,16,0.0352222866482,29,13,,16,16,,29,28,,,29,28,,29,28,3743737473.05,,29,28,15.2954047181,1017.44081141,363.915448559,4.07195902722,46.7757721748,89.6862039532,14.7486503448,7.71545378938,3743737473.05,0.0166298601198,-0.152222539432
"('8',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,7.26468738735,,16,16,0.013250541687,29,13,,16,16,,29,28,,,29,28,,29,28,3743741073.05,,29,28,15.2954525659,1017.17958077,364.338041119,3.87563354698,46.8069036163,89.5859070896,14.704099336,7.82676724399,3743741073.05,-0.0552565138025,-0.16040539288
"('9',)",6,44.36608,-124.93985,-3.80123021376,16,16,-3.72395005008,16,16,0.00960158969383,16,16,18.8517515526,16,16,6.57724900181,16,16,0.0206676503408,16,16,23.7043614591,29,28,7.23449985981,0.0,16,16,0.0,29,13,-4.19535904853,16,16,9.65712279764,29,29,0.08878897717,15.2145471813,29,29,14.6019941678,29,29,3743744673.05,4.63575338865,29,29,15.2206540761,1016.98039193,364.076932319,3.87684544185,46.8211522983,90.0801495783,14.6739610776,7.59999990463,3743744673.05,-0.104708754964,-0.146886788923
