obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,216.223745003,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3747515394.4,,29,28,15.5237233264,1011.77339643,298.375875686,4.61125369083,28.0195180825,65.6571565226,15.6259038925,229.507419811,3747515394.4,-0.131955809258,-0.0493284701203
"('1',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,59.1963751802,,16,16,0.00203543595278,29,13,,16,16,,29,28,,,29,28,,29,28,3747518994.4,,29,28,15.3331617863,1011.77001953,305.217354058,5.65487883012,28.0293069967,69.2139222159,15.6087574211,63.449693898,3747518994.4,-0.121759445826,0.112630125398
"('2',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.81622499925,,16,16,0.0174999554952,29,13,,16,16,,29,28,,,29,28,,29,28,3747522594.4,,29,28,15.1533745122,1012.18416144,314.554231654,4.45503091073,28.0412523761,71.3264642597,15.594916839,3.09582820371,3747522594.4,-0.153046716484,0.0629917113797
"('3',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.79877501577,,16,16,0.00733327865601,29,13,,16,16,,29,28,,,29,28,,29,28,3747526194.4,,29,28,15.1928835448,1012.5300293,301.517663114,5.7899125405,28.0382344918,70.1085040118,15.5665882348,3.00588793856,3747526194.4,-0.159341908123,0.134014012391
"('4',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.6995500015,,16,16,0.00666643778483,29,13,,16,16,,29,28,,,29,28,,29,28,3747529794.4,,29,28,15.1596688701,1013.2168666,302.646757618,4.40386357654,28.0695559009,74.3822540207,15.5354436413,2.89556225172,3747529794.4,-0.141853474276,0.177939904029
"('5',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.41605000901,,16,16,0.00866667429606,29,13,,16,16,,29,28,,,29,28,,29,28,3747533394.4,,29,28,15.1375286241,1013.4138984,300.368972012,2.90828531299,28.0415518037,74.0034524549,15.5392299119,2.40000009537,3747533394.4,-0.208888291997,0.217813670425
"('6',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.29004999399,,16,16,0.0113333066305,29,13,,16,16,,29,28,,,29,28,,29,28,3747536994.4,,29,28,15.0447055829,1013.84002686,298.967778427,2.74935298701,28.0567777388,74.268957498,15.518355708,2.29999995232,3747536994.4,-0.186846924774,0.22903130008
"('7',)",7,44.38,-124.95,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,2.99722498423,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3747540594.4,,29,28,15.1314625494,1014.02623988,339.378064497,3.19275572191,28.0733919759,70.900283033,15.4839292434,3.10176608778,3747540594.4,-0.129209336242,0.305756642309
"('8',)",7,44.38,-124.95,8.51320437548,16,16,9.44071379481,16,16,0.11542146881,16,16,143.738253029,16,16,79.0043595222,16,16,0.0438060284981,16,16,64.2490371716,29,28,3.2980500015,0.0,16,16,0.0,29,13,3.78290633692,16,16,7.23495157748,29,29,-0.0722290658282,14.8411917195,29,29,15.2463420299,29,29,3747544194.4,5.85477060872,29,29,14.7752702323,1014.23500476,327.134607802,5.78792814861,28.0134606187,66.625490716,15.4757313829,3.5,3747544194.4,0.0452672157804,0.178690674213
"('9',)",7,44.38,-124.95,9.20887181853,16,16,10.0857696073,16,16,0.109194313238,16,16,161.928402736,16,16,74.7447066187,16,16,0.0406409847652,16,16,85.2868081209,29,28,2.83980509926,0.0,16,16,0.0,29,13,4.73669309575,16,16,7.28655266055,29,29,-0.0863581711018,14.6595819488,29,29,15.1737594548,29,29,3747547794.4,5.64998102115,29,29,14.6557380347,1014.12642242,301.276184674,4.97739296988,28.0104763021,68.626924417,15.4270238585,2.99761969042,3747547794.4,-0.0467573169712,0.118867300129
"('10',)",7,44.38,-124.95,15.0717590492,16,16,15.9342398483,16,16,0.10275486623,16,16,171.399561351,16,16,73.6788130783,16,16,0.0453414759833,16,16,89.8677080367,29,28,2.84274589056,0.022679153124,16,16,0.00487890134887,29,13,10.6731069736,16,16,7.46717169152,29,29,-0.115891736279,14.0606460697,29,29,15.1401388524,29,29,3747551394.4,5.85822596205,29,29,14.0012729129,1013.82445634,299.299987793,5.52922424628,28.0438898948,74.1107820007,15.3975006541,3.03889628434,3747551394.4,-0.0109117414292,0.235078195114
"('11',)",7,44.38,-124.95,13.1496858664,16,16,13.9881868004,16,16,0.0928748515511,16,16,166.812033522,16,16,71.6346819202,16,16,0.0328020697895,16,16,89.1340115753,29,28,2.88854997897,0.0585589022336,16,16,0.0117677209156,29,13,8.87333110328,16,16,7.1428266155,29,29,-0.164829675562,14.0499909078,29,29,15.0579794121,29,29,3747554994.4,5.05786356009,29,29,13.9639997482,1013.90527244,299.413435601,4.90178549177,28.0693276352,70.9574366065,15.3397985219,3.09999990463,3747554994.4,0.173946623803,0.200102938197
"('12',)",7,44.38,-124.95,11.7880365313,16,16,12.5542407805,16,16,0.095634742526,16,16,156.896908915,16,16,65.4669123321,16,16,0.0229761309818,16,16,86.3625517286,29,28,2.81295000601,0.0,16,16,0.0,29,13,7.88039486059,16,16,6.90313351251,29,29,-0.251112220487,14.0019750247,29,29,15.0511325385,29,29,3747558594.4,4.24130745047,29,29,13.9010149056,1013.77001953,303.859696846,3.59264694066,28.01066366,68.4198261293,15.3651324447,3.09999990463,3747558594.4,-0.0140646024819,0.317714008103
"('13',)",7,44.38,-124.95,10.7701815578,16,16,11.4800595053,16,16,0.0881272768314,16,16,151.25464495,16,16,60.6711459186,16,16,0.0170530236775,16,16,86.1619640908,29,28,2.73105002779,0.00278094232903,16,16,0.000500202178955,29,13,7.14980402566,16,16,6.67995485773,29,29,-0.357036368137,13.9230071114,29,29,15.0059718535,29,29,3747562194.4,3.61597526055,29,29,13.8879393217,1013.88431448,303.376377952,3.18352580108,28.0363324929,67.5812938752,15.3487335371,2.83668339126,3747562194.4,-0.0490979222084,0.247359836923
"('14',)",7,44.38,-124.95,10.9951637948,16,16,11.6769348747,16,16,0.0827365595579,16,16,138.841532884,16,16,58.2908693074,16,16,0.0163350495401,16,16,90.1589861712,29,28,17.1397372713,0.0132833890653,16,16,0.00241226907504,29,13,7.51813128765,16,16,6.74680759411,29,29,-0.386913994037,13.8219832353,29,29,14.9782200488,29,29,3747565794.4,3.52527595889,29,29,13.7663870113,1014.02917276,296.525233246,3.38321720032,28.047027365,68.0300967598,15.3330628036,20.1405347971,3747565794.4,-0.0582718711514,0.217998180179
"('15',)",7,44.38,-124.95,10.393786144,16,16,11.030510311,16,16,0.079525599116,16,16,41.0182328206,16,16,54.4416540912,16,16,0.0132165700242,16,16,69.1570612116,29,28,89.7269753744,0.0,16,16,0.0,29,13,7.14649289216,16,16,6.69143657752,29,29,-0.499016393062,13.8093425211,29,29,15.0096607526,29,29,3747569394.4,3.12359209378,29,29,13.7451327768,1014.0810018,319.095272198,3.20876681789,28.0546511606,68.2599522075,15.3221546731,90.8341704124,3747569394.4,-0.136815167802,0.212018509339
"('16',)",7,44.38,-124.95,9.5959311519,16,16,10.2486270663,16,16,0.0814562661352,16,16,-222.210761135,16,16,55.7619767522,16,16,0.0136923069029,16,16,63.0838058933,29,28,347.323725769,0.0,16,16,0.0,29,13,6.26718198858,16,16,6.67766134619,29,29,-0.440661587657,14.0315874835,29,29,15.0774605219,29,29,3747572994.4,3.20215047167,29,29,14.0290111551,1014.67949283,344.360407665,3.55539333006,28.0400009155,66.148848982,15.3474076828,471.237493461,3747572994.4,-0.0861644761124,0.289245932511
