obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,265.355996475,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3746649874.32,,29,28,16.5852342057,1018.86999512,288.772512958,3.92758514535,5.07382662257,81.5696317864,16.0824562717,304.027462344,3746649874.32,0.100639505554,-0.0472140332655
"('1',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,105.147000961,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3746653474.32,,29,28,16.445703972,1018.83541181,291.280728182,3.34928311881,5.02083051052,82.920378722,16.1164796734,149.345023288,3746653474.32,0.180667726941,-0.0818026772603
"('2',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,12.2955001903,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3746657074.32,,29,28,16.0963150684,1018.79501525,289.692102905,2.57997764448,4.97539519365,86.3972260998,16.0650558038,32.9119353839,3746657074.32,0.119779843587,-0.13554181912
"('3',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.26050009012,,16,16,0.131111039056,29,13,,16,16,,29,28,,,29,28,,29,28,3746660674.32,,29,28,15.8387117183,1018.76965378,290.211860296,3.0203056916,5.1449162858,86.8540605689,16.0038304765,4.53558098402,3746660674.32,0.162863134759,-0.160482742594
"('4',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.31300006509,,16,16,0.00444444020589,29,13,,16,16,,29,28,,,29,28,,29,28,3746664274.32,,29,28,15.8093456273,1018.78538415,121.916970066,3.49721144124,5.14615753864,86.2699310105,16.0023099505,4.60375503862,3746664274.32,0.242906275888,-0.240544955848
"('5',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.27100008011,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3746667874.32,,29,28,15.7747334233,1018.96962826,288.900262902,3.84965535504,5.12692738701,85.8270964326,16.0121564344,4.74636357725,3746667874.32,0.196608042384,-0.330774706578
"('6',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,5.37600003004,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3746671474.32,,29,28,15.6728002307,1019.02071626,287.430595482,4.07667562282,5.07117672041,86.1835069732,15.9138827235,4.72000604809,3746671474.32,0.0680447649219,-0.346947998845
"('7',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,6.04799993992,,16,16,0.122222105662,29,13,,16,16,,29,28,,,29,28,,29,28,3746675074.32,,29,28,15.6492533769,1019.05035007,304.610656461,4.57063169845,5.1530492822,85.631326294,15.7782939635,5.09327839936,3746675074.32,-0.0962554482417,-0.320755374385
"('8',)",6,44.36608,-124.93985,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,6.03749994993,,16,16,0.19888888465,29,13,,16,16,,29,28,,,29,28,,29,28,3746678674.32,,29,28,15.6162108095,1019.27119244,326.560778664,3.70686830747,5.30925173377,87.3487120533,15.5597344195,5.51496496998,3746678674.32,-0.169085512146,-0.248732856895
"('9',)",6,44.36608,-124.93985,-0.760355832426,16,16,-0.641065459536,16,16,-0.100744434701,16,16,81.0957980403,16,16,10.1383494527,16,16,0.0118603487014,16,16,77.8891549452,29,28,5.7225,0.15953037652,16,16,0.115555551317,29,13,-1.36873673416,16,16,9.61888349985,29,29,0.0353351102968,15.4485507856,29,29,15.1994139192,29,29,3746682274.32,3.36218537,29,29,15.4711270488,1019.65164515,313.344001815,3.07124704898,5.46040939993,88.4774041477,15.4532088906,5.14134778381,3746682274.32,-0.218821372375,-0.256243317768
