obs,deployment,lat,lon,met_buoyfls,met_buoyfls_qc_executed,met_buoyfls_qc_results,met_buoyflx,met_buoyflx_qc_executed,met_buoyflx_qc_results,met_frshflx,met_frshflx_qc_executed,met_frshflx_qc_results,met_heatflx,met_heatflx_qc_executed,met_heatflx_qc_results,met_latnflx,met_latnflx_qc_executed,met_latnflx_qc_results,met_mommflx,met_mommflx_qc_executed,met_mommflx_qc_results,met_netlirr,met_netlirr_qc_executed,met_netlirr_qc_results,met_netsirr_hourly,met_rainflx,met_rainflx_qc_executed,met_rainflx_qc_results,met_rainrte,met_rainrte_qc_executed,met_rainrte_qc_results,met_sensflx,met_sensflx_qc_executed,met_sensflx_qc_results,met_sphum2m,met_sphum2m_qc_executed,met_sphum2m_qc_results,met_stablty,met_tempa2m,met_tempa2m_qc_executed,met_tempa2m_qc_results,met_tempskn,met_tempskn_qc_executed,met_tempskn_qc_results,met_timeflx,met_wind10m,met_wind10m_qc_executed,met_wind10m_qc_results,metbk_a_dcl_instrument-air_temperature,metbk_a_dcl_instrument-barometric_pressure,metbk_a_dcl_instrument-longwave_irradiance,metbk_a_dcl_instrument-met_relwind_speed,metbk_a_dcl_instrument-precipitation,metbk_a_dcl_instrument-relative_humidity,metbk_a_dcl_instrument-sea_surface_temperature,metbk_a_dcl_instrument-shortwave_irradiance,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",8,44.3645,-124.94017,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,158.637614139,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3767560176.65,,29,28,12.1696386923,1018.3645511,365.363624536,7.07504735982,33.5136356738,90.9869065844,12.3846365283,167.473695425,3767560176.65,-0.340383216086,0.0513529699542
"('1',)",8,44.3645,-124.94017,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,94.2148981951,,16,16,0.00628500999627,29,13,,16,16,,29,28,,,29,28,,29,28,3767563776.65,,29,28,12.1901192647,1017.98506722,365.582054109,8.48793522212,33.5101479519,90.230926178,12.3100153712,96.1192138838,3767563776.65,-0.197225227536,0.0465888961849
"('2',)",8,44.3645,-124.94017,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,42.2871752043,,16,16,0.00147176624018,29,13,,16,16,,29,28,,,29,28,,29,28,3767567376.65,,29,28,12.0350359628,1018.26417091,365.610127739,7.85824948097,33.5389885975,91.9622205522,12.3215947385,48.192299491,3767567376.65,-0.161813207244,0.00911697783048
"('3',)",8,44.3645,-124.94017,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,10.9310163994,,16,16,0.00601390567633,29,13,,16,16,,29,28,,,29,28,,29,28,3767570976.65,,29,28,12.2288759229,1018.0715046,366.5,6.69387678507,33.5366906868,91.0376088085,12.3161655593,8.91585551417,3767570976.65,-0.0051355207403,-0.0535535681995
"('4',)",8,44.3645,-124.94017,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.49650000305,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3767574576.65,,29,28,12.1979999542,1018.05076157,365.298882781,6.41317823303,33.5103299348,90.062314907,12.3190002441,3.80110523597,3767574576.65,-0.0330004381567,-0.121225952867
"('5',)",8,44.3645,-124.94017,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.32763935091,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3767578176.65,,29,28,12.09497843,1018.59997559,366.974662917,5.19183232758,33.5430994136,90.8801293499,12.3199996948,3.29999995232,3767578176.65,-0.148431683306,-0.0945277580313
"('6',)",8,44.3645,-124.94017,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.29628813865,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3767581776.65,,29,28,12.1672303114,1018.5300293,367.200012207,7.27323182929,33.5302869455,89.8171028186,12.3310003281,3.49711895626,3767581776.65,-0.13389172883,-0.166398813746
"('7',)",8,44.3645,-124.94017,,16,16,,16,16,,16,16,,16,16,,16,16,,16,16,,29,28,3.48410654777,,16,16,0.0,29,13,,16,16,,29,28,,,29,28,,29,28,3767585376.65,,29,28,12.101793971,1018.4582779,366.976867045,6.78112025624,33.5423127042,89.9088200642,12.3479995728,3.55124565012,3767585376.65,-0.131404988918,-0.155635482692
"('8',)",8,44.3645,-124.94017,2.97364021164,16,16,3.2902470268,16,16,0.0397594065483,16,16,34.896476877,16,16,27.2950330052,16,16,0.0741481108504,16,16,9.69415095605,29,28,3.45165253855,0.0,16,0,0.0,29,13,1.35894545429,16,16,7.72919012978,29,29,-0.0116874340457,12.2178543717,29,29,12.3526840119,29,29,3767588976.65,7.37062304381,29,29,12.3501194023,1018.33562531,367.96652876,6.97929060915,33.5083248447,87.221903194,12.3958883469,3.80557844352,3767588976.65,-0.127474462381,-0.233654894128
"('9',)",8,44.3645,-124.94017,5.26531578618,16,16,5.61964351519,16,16,0.0445113181088,16,16,40.4222156525,16,16,30.555043764,16,16,0.0890544693131,16,16,9.82667750898,29,28,3.41774998873,0.0,16,0,0.0,29,13,3.45824436824,16,16,7.73066047342,29,29,-0.0151741173823,12.132397513,29,29,12.4258109407,29,29,3767592576.65,7.88733559865,29,29,12.1766506,1017.97998047,367.277032426,8.07485292111,33.5055015042,87.8833545699,12.4748903052,3.70000004768,3767592576.65,-0.189849328298,-0.231566341435
"('10',)",8,44.3645,-124.94017,7.40418109848,16,16,7.77079055206,16,16,0.0425169518158,16,16,44.134627298,16,16,31.6223922706,16,16,0.0992798718202,16,16,10.305208862,29,28,3.33383606631,0.00638934653209,16,0,0.00355210017637,29,13,5.53447288522,16,16,7.77381186246,29,29,-0.0178320175565,12.0493295543,29,29,12.4894543016,29,29,3767596176.65,8.20319932952,29,29,12.0009474137,1018.2050472,367.146326283,7.92826733067,33.5146324114,88.7035780558,12.5386416991,3.61789414616,3767596176.65,-0.224571490749,-0.248243791882
"('11',)",8,44.3645,-124.94017,9.71676365735,16,16,10.1075389828,16,16,0.049126182687,16,16,49.1907951748,16,16,33.7193411877,16,16,0.10565784303,16,16,11.0727631512,29,28,3.32511866163,0.0,16,0,0.0,29,13,7.72380949748,16,16,7.76028305848,29,29,-0.0211291838307,11.9400965655,29,29,12.5325167124,29,29,3767599776.65,8.37972598215,29,29,11.9343514977,1018.13003813,365.350199788,8.56744286386,33.5194982306,88.3082499624,12.5812011615,3.70000004768,3767599776.65,-0.232985170476,-0.238319574799
"('12',)",8,44.3645,-124.94017,10.5545195557,16,16,10.9822732622,16,16,0.0537770701318,16,16,52.9557785537,16,16,36.9101379314,16,16,0.106197299456,16,16,11.6556076057,29,28,3.98294263625,0.0,16,0,0.0,29,13,8.37297565294,16,16,7.69052143402,29,29,-0.0227760278231,11.9313226473,29,29,12.5704373619,29,29,3767603376.65,8.38820814518,29,29,11.8739995956,1017.60161605,365.651365857,8.42284732207,33.5114848584,88.9911495485,12.625,4.0,3767603376.65,-0.22522862969,-0.276967252154
"('13',)",8,44.3645,-124.94017,10.7822746997,16,16,11.1680441848,16,16,0.044629132979,16,16,39.2099170679,16,16,33.2926919833,16,16,0.0898960824974,16,16,11.4167604681,29,28,14.3223559673,0.0079702578307,16,0,0.0038786080189,29,13,8.81485032604,16,16,7.75364792475,29,29,-0.029723002342,11.8833564139,29,29,12.5950722034,29,29,3767606976.65,7.85043936463,29,29,11.8055381052,1017.55999756,367.236507632,6.32826526833,33.5088443049,89.6771984882,12.6539425484,13.465373667,3767606976.65,-0.258236659884,-0.284449171313
"('14',)",8,44.3645,-124.94017,10.3030496066,16,16,10.7042257669,16,16,0.0504368364427,16,16,19.3451171628,16,16,34.6160502437,16,16,0.0838399201387,16,16,11.4039405142,29,28,34.9319247837,0.0,16,0,0.0,29,13,8.25705118873,16,16,7.69094779492,29,29,-0.0316203543216,11.9279767374,29,29,12.6123043808,29,29,3767610576.65,7.63822553298,29,29,11.9696159457,1017.83356831,366.872318457,6.47964367728,33.5209228551,88.5767886572,12.6738152893,36.9232351084,3767610576.65,-0.268434038924,-0.270401962358
"('15',)",8,44.3645,-124.94017,9.72179492135,16,16,10.0885566374,16,16,0.0455041233735,16,16,-11.3362929746,16,16,31.645352733,16,16,0.0779227245702,16,16,10.9502256304,29,28,61.784409907,0.00122839968605,16,0,0.000604004156394,29,13,7.85131016929,16,16,7.75717685379,29,29,-0.0332559499002,11.9397697763,29,29,12.6083630464,29,29,3767614176.65,7.42238024543,29,29,11.9010690523,1017.90997314,366.383441003,7.40983591739,33.5233109102,89.0046966343,12.6651655476,81.2565400999,3767614176.65,-0.238633295476,-0.176247004064
"('16',)",8,44.3645,-124.94017,6.86743258189,16,16,7.18934553126,16,16,0.0404542538943,16,16,-60.3718529262,16,16,27.7677158061,16,16,0.0690440316131,16,16,10.0225592258,29,28,103.387804498,0.0,16,0,0.0,29,13,5.22567654013,16,16,7.78656728438,29,29,-0.0284145418427,12.0384114172,29,29,12.5104675287,29,29,3767617776.65,7.1031076513,29,29,11.9940004349,1017.98735171,366.700012207,7.13930299581,33.4910544254,89.7709486672,12.5231050482,111.415656383,3767617776.65,-0.385029065516,-0.135824718019
"('17',)",8,44.3645,-124.94017,4.82429811415,16,16,5.10281236473,16,16,0.0349870418418,16,16,-130.214354981,16,16,24.0155955163,16,16,0.0508961189588,16,16,9.49174807289,29,28,167.125574007,0.0,16,0,0.0,29,13,3.40387543616,16,16,7.80628571686,29,29,-0.0318352546551,12.1399603539,29,29,12.4892814081,29,29,3767621376.65,6.28964454873,29,29,12.0949143177,1017.99358169,367.899993896,5.00864386818,33.4799995422,88.8586704996,12.5398056004,189.124569322,3767621376.65,-0.312334474631,-0.0847418862932
"('18',)",8,44.3645,-124.94017,4.25302419781,16,16,4.52551783888,16,16,0.0342230635234,16,16,-139.77783386,16,16,23.4909898084,16,16,0.0499924326628,16,16,9.34155663286,29,28,175.473686929,0.0,16,0,0.0,29,13,2.86330662831,16,16,7.82452636655,29,29,-0.029001250783,12.2007267102,29,29,12.4998177533,29,29,3767624976.65,6.25289080629,29,29,12.1450004578,1018.05307032,367.396911844,6.38335062899,33.5198463081,88.5843209905,12.5430156245,183.416946833,3767624976.65,-0.226310613421,0.0203674596394
"('19',)",8,44.3645,-124.94017,4.25442338439,16,16,4.52351648928,16,16,0.03379084612,16,16,-158.813197905,16,16,23.1937804171,16,16,0.0591158905776,16,16,9.28484764796,29,28,194.173874519,0.0,16,0,0.0,29,13,2.88204854945,16,16,7.90600168306,29,29,-0.0225542400345,12.2431453615,29,29,12.5276250846,29,29,3767628576.65,6.70706358524,29,29,12.1825413276,1018.0192377,367.841114037,5.07630781681,33.5121493107,90.1667306726,12.5678036734,194.02907022,3767628576.65,-0.19722590136,0.0421785386546
